Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Nervous System Development (GO:0007399)	8/433	0.000161216210031808	0.0705932169525473	0	0	5.73617647058824	50.0926763806039	MBNL1;ZEB2;ATXN1;PCSK9;TRAK1;VAX2;GLIS2;TRAK2
Anterograde Axonal Transport (GO:0008089)	3/39	0.0003725046452274	0.0705932169525473	0	0	24.024154589372	189.676971984162	DLG2;TRAK1;TRAK2
Embryonic Appendage Morphogenesis (GO:0035113)	2/10	0.000564473339396321	0.0705932169525473	0	0	71.1428571428571	532.121352469826	SKI;MBNL1
Mitochondrion Distribution (GO:0048311)	2/11	0.000688306132347803	0.0705932169525473	0	0	63.2349206349206	460.430964311659	TRAK1;TRAK2
Neurogenesis (GO:0022008)	3/49	0.000731858725953468	0.0705932169525473	0	0	18.7920604914934	135.677230886709	PCSK9;TRAK1;TRAK2
Axonal Transport Of Mitochondrion (GO:0019896)	2/12	0.000824045334076428	0.0705932169525473	0	0	56.9085714285714	404.123985367655	TRAK1;TRAK2
Limb Morphogenesis (GO:0035108)	2/20	0.00232849062320393	0.170977740046689	0	0	31.6031746031746	191.595352854511	SKI;MBNL1
Vesicle Transport Along Microtubule (GO:0047496)	2/22	0.00281782286561844	0.181045119115985	0	0	28.44	166.993728238114	TRAK1;TRAK2
Cellular Response To Xenobiotic Stimulus (GO:0071466)	2/26	0.00392780303035	0.224321195288878	0	0	23.6952380952381	131.263918919125	KCNQ1;VAV2
Negative Regulation Of Osteoblast Differentiation (GO:0045668)	2/32	0.00591156675299582	0.229222483379625	0	0	18.9504761904762	97.2319442728821	SKI;RANBP3L
Lysosomal Transport (GO:0007041)	3/105	0.00645025827920122	0.229222483379625	0	0	8.45098039215686	42.6236613833731	PCSK9;DENND3;TRAK1
Embryonic Limb Morphogenesis (GO:0030326)	2/34	0.0066553470296095	0.229222483379625	0	0	17.7642857142857	89.040545400851	SKI;MBNL1
Vesicle Cytoskeletal Trafficking (GO:0099518)	2/39	0.0086895625987282	0.229222483379625	0	0	15.3598455598456	72.8921849692208	TRAK1;TRAK2
Organelle Transport Along Microtubule (GO:0072384)	2/39	0.0086895625987282	0.229222483379625	0	0	15.3598455598456	72.8921849692208	TRAK1;TRAK2
Bone Development (GO:0060348)	2/44	0.0109660257445892	0.229222483379625	0	0	13.5278911564626	61.0507417715607	SKI;RANBP3L
Protein Targeting (GO:0006605)	3/129	0.0113121248297969	0.229222483379625	0	0	6.83298826777088	30.6246343781168	VPS37B;TRAK1;TRAK2
Vacuolar Transport (GO:0007034)	2/46	0.0119424020077896	0.229222483379625	0	0	12.9116883116883	57.1685661034258	PCSK9;VPS37B
Nuclear Export (GO:0051168)	2/49	0.0134756729272993	0.229222483379625	0	0	12.0857142857143	52.0515909130959	RANBP3L;ATXN1
Axon Guidance (GO:0007411)	3/149	0.0166200735735947	0.229222483379625	0	0	5.89100655151876	24.1363025161993	CYFIP1;TNR;NCAM1
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	MAP4K4
Negative Regulation Of Glial Cell Proliferation (GO:0060253)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	SKI
tRNA Pseudouridine Synthesis (GO:0031119)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	PUS10
Regulation Of Fat Cell Proliferation (GO:0070344)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	TFDP1
Regulation Of Focal Adhesion Disassembly (GO:0120182)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	MAP4K4
Heat Acclimation (GO:0010286)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	HSPA6
Cellular Heat Acclimation (GO:0070370)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	HSPA6
Pteridine-Containing Compound Metabolic Process (GO:0042558)	1/5	0.0178724977648703	0.229222483379625	0	0	70.1549295774648	282.337965850601	PRKG2
Endosome To Lysosome Transport (GO:0008333)	2/57	0.0179541921988615	0.229222483379625	0	0	10.3236363636364	41.5003124852185	DENND3;TRAK1
Central Nervous System Development (GO:0007417)	4/283	0.0190473151004789	0.229222483379625	0	0	4.1427366645583	16.4086720462652	ATXN1;TBR1;VAX2;GLIS2
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	8/938	0.0191998485811258	0.229222483379625	0	0	2.55349462365591	10.093588593472	SKI;STAT5B;ZEB2;TFDP1;AIRE;NFYC;ZFX;GLIS2
Regulation Of Digestive System Process (GO:0044058)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	KCNQ1
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	PCSK9
Negative Regulation Of Low-Density Lipoprotein Receptor Activity (GO:1905598)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	PCSK9
Gamma-Aminobutyric Acid Transport (GO:0015812)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	SLC6A6
Positive Regulation Of Necrotic Cell Death (GO:0010940)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	SLC6A6
Positive Regulation Of Receptor Catabolic Process (GO:2000646)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	PCSK9
Positive Regulation Of Striated Muscle Contraction (GO:0045989)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	KCNQ1
Nose Development (GO:0043584)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	SKI
Regulation Of Rab Protein Signal Transduction (GO:0032483)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	DENND3
Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization (GO:0060372)	1/6	0.0214090259328941	0.229222483379625	0	0	56.1211267605634	215.726394029182	KCNQ1
Brain Development (GO:0007420)	3/169	0.0231086966481217	0.229222483379625	0	0	5.17600838135149	19.5008509879933	ATXN1;TBR1;VAX2
DNA Ligation (GO:0006266)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	MGMT
Taurine Metabolic Process (GO:0019530)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	STAT5B
Positive Regulation Of Melanin Biosynthetic Process (GO:0048023)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	ZEB2
Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	STAT5B
Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0099625)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	KCNQ1
Positive Regulation Of Secondary Metabolite Biosynthetic Process (GO:1900378)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	ZEB2
Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	KCNQ1
Cellular Response To Epinephrine Stimulus (GO:0071872)	1/7	0.024932997075323	0.229222483379625	0	0	46.7652582159624	172.636904820907	KCNQ1
