Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cell Junction Maintenance (GO:0034331)	3/18	8.2992372390902e-05	0.0614370743380958	0	0	42.7720430107527	401.918702150952	MYADM;F2RL1;CBLN2
Cellular Response To Nerve Growth Factor Stimulus (GO:1990090)	3/21	0.000133863826694384	0.0614370743380958	0	0	35.6379928315412	317.844120956984	BDNF;STMN2;TMEM108
Positive Regulation Of Receptor Binding (GO:1900122)	2/5	0.000225867685995685	0.0614370743380958	0	0	141.141843971631	1184.9649875808	BDNF;MMP9
Myeloid Leukocyte Differentiation (GO:0002573)	4/71	0.000378631522996286	0.0614370743380958	0	0	12.8728098637249	101.424187438063	F2RL1;PPARG;MMP9;HLA-DRB1
Cellular Response To Hypoxia (GO:0071456)	4/72	0.000399440102506102	0.0614370743380958	0	0	12.6828644501279	99.2490802035705	RPTOR;CPEB1;PPARG;CPEB2
Cellular Response To Decreased Oxygen Levels (GO:0036294)	4/73	0.000421053167968808	0.0614370743380958	0	0	12.4984247006931	97.1471486218355	RPTOR;CPEB1;PPARG;CPEB2
Positive Regulation Of Protein Phosphorylation (GO:0001934)	8/377	0.000463426207291671	0.0614370743380958	0	0	4.81276176398128	36.9469146061123	RPTOR;TNXB;BDNF;PPARG;MMP9;PTK2;HLA-DRB1;FGF4
Adrenal Gland Development (GO:0030325)	2/9	0.000803002850998368	0.0827985161918317	0	0	60.4772036474164	431.030240685592	WT1;NR0B1
Regulation Of Receptor Binding (GO:1900120)	2/9	0.000803002850998368	0.0827985161918317	0	0	60.4772036474164	431.030240685592	BDNF;MMP9
Positive Regulation Of Protein Depolymerization (GO:1901881)	2/10	0.00100061743308299	0.0928572977901014	0	0	52.9148936170213	365.490474395909	STMN2;F2RL1
Skeletal System Morphogenesis (GO:0048705)	3/43	0.00115072529543743	0.0966724211864436	0	0	16.0193548387097	108.408786715925	CYP26B1;HOXC4;HOXB3
Cellular Response To Insulin Stimulus (GO:0032869)	4/99	0.0013243339101512	0.0966724211864436	0	0	9.06590389016018	60.0783458055535	CPEB1;IRS4;PPARG;CPEB2
Regulation Of Interleukin-10 Production (GO:0032653)	3/46	0.00140080658282574	0.0966724211864436	0	0	14.8994748687172	97.9000849734555	F2RL1;PIBF1;HLA-DRB1
Cell-Cell Junction Maintenance (GO:0045217)	2/12	0.00145842014720928	0.0966724211864436	0	0	42.3276595744681	276.416612427278	MYADM;F2RL1
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	8/456	0.00158068973345671	0.0968264846300578	0	0	3.94805194805195	25.4645165202489	NFIL3;WT1;FOXG1;PPARG;ZNF425;NR0B1;BCOR;POU3F3
Regulation Of Protein Phosphorylation (GO:0001932)	6/265	0.00175217842278251	0.0968264846300578	0	0	5.05662805662806	32.093889615905	MYADM;PRR5L;MMP9;PTK2;HLA-DRB1;FGF4
Regulation Of DNA-templated Transcription (GO:0006355)	19/1922	0.00177376103309373	0.0968264846300578	0	0	2.33410677604056	14.785756746287	KCNH2;DLX4;FOXG1;TFE3;IRX4;NR0B1;POU3F3;CUX1;NFIL3;WT1;HOXB3;HOXC4;PPARG;ZNF425;LHX5;BCOR;MKX;APBB3;HLA-DRB1
Synaptic Transmission, GABAergic (GO:0051932)	2/14	0.00199831994958774	0.103024495178746	0	0	35.2695035460993	219.215782087706	GABRA2;GABRA3
Negative Regulation Of Cation Transmembrane Transport (GO:1904063)	2/15	0.00229856115776933	0.105660276496964	0	0	32.5548281505728	197.785944790075	KCNH2;MMP9
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	6/284	0.00247850195597761	0.105660276496964	0	0	4.70647482014389	28.2393240457371	KL;BDNF;IRS4;MMP9;PTK2;FGF4
Positive Regulation Of Cell Projection Organization (GO:0031346)	4/118	0.00251925406915236	0.105660276496964	0	0	7.54767353165523	45.1637117094793	ROBO2;CUX1;BDNF;STMN2
Negative Regulation Of Viral-Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532)	2/16	0.00261873530111009	0.105660276496964	0	0	30.2279635258359	179.707171319786	SEC14L1;F2RL1
Mesonephric Tubule Development (GO:0072164)	2/16	0.00261873530111009	0.105660276496964	0	0	30.2279635258359	179.707171319786	ROBO2;WT1
Anterior/Posterior Pattern Specification (GO:0009952)	3/59	0.00286798662253983	0.110895482738207	0	0	11.4331797235023	66.9314921484465	WT1;HOXB3;HOXC4
Regulation Of Nervous System Process (GO:0031644)	2/18	0.0033181068615317	0.118430891057747	0	0	26.4468085106383	150.967927132668	TMEM108;HTR2C
Ureteric Bud Development (GO:0001657)	2/18	0.0033181068615317	0.118430891057747	0	0	26.4468085106383	150.967927132668	ROBO2;WT1
Regulation Of Fibroblast Migration (GO:0010762)	2/20	0.00409489722109075	0.131036711074904	0	0	23.5059101654846	129.235815195301	PRR5L;PTK2
Endothelial Cell Development (GO:0001885)	2/20	0.00409489722109075	0.131036711074904	0	0	23.5059101654846	129.235815195301	MYADM;F2RL1
Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)	2/20	0.00409489722109075	0.131036711074904	0	0	23.5059101654846	129.235815195301	GABRA2;GABRA3
Macrophage Differentiation (GO:0030225)	2/21	0.00451184994179073	0.139566558199393	0	0	22.2676371780515	120.268577755643	MMP9;HLA-DRB1
Placenta Development (GO:0001890)	2/22	0.00494759063639843	0.148108519696056	0	0	21.1531914893617	112.299217118417	PPARG;PTK2
Regulation Of Cell Adhesion (GO:0030155)	4/144	0.00513170705155784	0.148819504495177	0	0	6.13788819875776	32.3608917822832	TNXB;TFE3;MYADM;PTK2
Endocrine System Development (GO:0035270)	2/23	0.0054019331785707	0.1519089087792	0	0	20.144883485309	105.176404312947	WT1;NR0B1
Positive Regulation Of Protein Secretion (GO:0050714)	3/76	0.00584877572703542	0.152657654198341	0	0	8.76314626601856	45.055917352369	F2RL1;PPARG;APBB3
Regulation Of Cytoplasmic Translation (GO:2000765)	2/24	0.00587469276352664	0.152657654198341	0	0	19.2282398452611	98.7774200569741	CPEB1;CPEB2
Neuron Development (GO:0048666)	4/150	0.00592206417148735	0.152657654198341	0	0	5.88385944014294	30.1787281933519	ROBO2;TNXB;STMN2;TMEM108
Metanephros Development (GO:0001656)	2/25	0.0063656858988136	0.159019735197886	0	0	18.3913043478261	93.0017601051784	ROBO2;WT1
