Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RHOT1 GTPase Cycle R-HSA-9013425	2/5	0.000126909065898155	0.0375217269843336	0	0	189.761904761905	1702.55135151923	TRAK1;TRAK2
RHOT2 GTPase Cycle R-HSA-9013419	2/7	0.000265269341845958	0.0375217269843336	0	0	113.845714285714	937.492687896776	TRAK1;TRAK2
Miro GTPase Cycle R-HSA-9715370	2/8	0.00035286890580878	0.0375217269843336	0	0	94.8666666666667	754.13440259815	TRAK1;TRAK2
Signaling By FLT3 Fusion Proteins R-HSA-9703465	2/18	0.00188378999792587	0.136511709302803	0	0	35.5571428571429	223.102211034977	STAT5B;ETV6
Signal Transduction By L1 R-HSA-445144	2/20	0.00232849062320393	0.136511709302803	0	0	31.6031746031746	191.595352854511	NCAM1;VAV2
Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154	2/21	0.00256761835679253	0.136511709302803	0	0	29.9383458646617	178.575542435872	GUCY1A2;PRKG2
RAC2 GTPase Cycle R-HSA-9013404	3/87	0.00381898878183859	0.146873661200893	0	0	10.2712215320911	57.1877950855023	CYFIP1;NHS;VAV2
FLT3 Signaling In Disease R-HSA-9682385	2/27	0.00423219087366826	0.146873661200893	0	0	22.7462857142857	124.309258534337	STAT5B;ETV6
RAC3 GTPase Cycle R-HSA-9013423	3/93	0.00460419000629759	0.146873661200893	0	0	9.58357487922705	51.5671896825019	CYFIP1;NHS;VAV2
VEGFA-VEGFR2 Pathway R-HSA-4420097	3/93	0.00460419000629759	0.146873661200893	0	0	9.58357487922705	51.5671896825019	CYFIP1;SHC2;VAV2
Signaling By VEGF R-HSA-194138	3/102	0.00595343395280002	0.172649584631201	0	0	8.70838823012736	44.619927196756	CYFIP1;SHC2;VAV2
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	7/660	0.00951986830960953	0.253069832563787	0	0	3.17881964895747	14.795416361776	CYFIP1;WDR91;NHS;CDC42BPB;TRAK1;VAV2;TRAK2
Signal Transduction R-HSA-162582	16/2465	0.01303468230824	0.262654189313787	0	0	2.03919967333606	8.85041534132087	CYFIP1;STAT5B;SHC2;CRABP1;CDC42BPB;TRAK1;VAV2;TRAK2;SKI;TFDP1;RASA3;WDR91;NHS;PRKG2;NCAM1;ATP6V1G3
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	2/51	0.0145428386908298	0.262654189313787	0	0	11.5912536443149	49.0386136482717	SKI;TFDP1
RAF/MAP Kinase Cascade R-HSA-5673001	4/271	0.0165205314119579	0.262654189313787	0	0	4.33157083057942	17.7730906734452	SHC2;RASA3;PRKG2;NCAM1
CDC42 GTPase Cycle R-HSA-9013148	3/149	0.0166200735735947	0.262654189313787	0	0	5.89100655151876	24.1363025161993	WDR91;CDC42BPB;VAV2
ECM Proteoglycans R-HSA-3000178	2/55	0.0167826437326019	0.262654189313787	0	0	10.7142857142857	43.7936789759436	TNR;NCAM1
MAPK1/MAPK3 Signaling R-HSA-5684996	4/277	0.0177557453160065	0.262654189313787	0	0	4.23507864684335	17.0717974135685	SHC2;RASA3;PRKG2;NCAM1
Signaling By Membrane-Tethered Fusions Of PDGFRA Or PDGFRB R-HSA-9673768	1/5	0.0178724977648703	0.262654189313787	0	0	70.1549295774648	282.337965850601	ETV6
Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	1/5	0.0178724977648703	0.262654189313787	0	0	70.1549295774648	282.337965850601	TFDP1
IRF3 Mediated Activation Of Type 1 IFN R-HSA-1606341	1/5	0.0178724977648703	0.262654189313787	0	0	70.1549295774648	282.337965850601	NLRP4
FCGR3A-mediated Phagocytosis R-HSA-9664422	2/60	0.019774560910874	0.262654189313787	0	0	9.78817733990148	38.4025333647804	CYFIP1;VAV2
Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482	2/62	0.0210293985683685	0.262654189313787	0	0	9.46095238095238	36.5366265215147	CYFIP1;VAV2
RHO GTPase Cycle R-HSA-9012999	5/441	0.021335725518128	0.262654189313787	0	0	3.33630015062303	12.8359889738778	CYFIP1;WDR91;NHS;CDC42BPB;VAV2
STAT5 Activation R-HSA-9645135	1/7	0.024932997075323	0.262654189313787	0	0	46.7652582159624	172.636904820907	STAT5B
Erythropoietin Activates STAT5 R-HSA-9027283	1/7	0.024932997075323	0.262654189313787	0	0	46.7652582159624	172.636904820907	STAT5B
RAC1 GTPase Cycle R-HSA-9013149	3/178	0.026417367886567	0.262654189313787	0	0	4.90757763975155	17.8328298164065	CYFIP1;NHS;VAV2
MAPK Family Signaling Cascades R-HSA-5683057	4/318	0.0277370337654806	0.262654189313787	0	0	3.67440989134507	13.1727109570863	SHC2;RASA3;PRKG2;NCAM1
DNA Damage Reversal R-HSA-73942	1/8	0.0284444548765882	0.262654189313787	0	0	40.0824949698189	142.685747565623	MGMT
RHOG GTPase Cycle R-HSA-9013408	2/74	0.0292208598826251	0.262654189313787	0	0	7.87936507936508	27.8367917746668	CYFIP1;VAV2
