Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Response To Unfolded Protein (GO:0006986)	5/44	3.84106954790786e-06	0.00350305542769197	0	0	24.7112272840428	308.143066174641	HSP90AA1;HSPH1;HSPA2;HSPE1;HSPD1
Positive Regulation Of Protein Catabolic Process (GO:0045732)	6/92	1.05461999116463e-05	0.0048090671597107	0	0	13.547195622435	155.247406768219	PLK3;HSP90AA1;PLK2;ADAM9;SNX9;EZR
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	4/63	0.000374875324792337	0.072118621867818	0	0	12.9289439374185	101.995366324495	PLK3;DBF4;PLK2;BACH1
Negative Regulation Of p38MAPK Cascade (GO:1903753)	2/6	0.000427269721847975	0.072118621867818	0	0	93.811320754717	727.797145719859	DUSP10;EZR
Establishment Of Endothelial Barrier (GO:0061028)	3/28	0.000454667841252269	0.072118621867818	0	0	22.7051428571429	174.73749488132	PDE2A;EZR;ICAM1
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	4/67	0.000474464617551434	0.072118621867818	0	0	12.1056166056166	92.6482001775003	EIF2AK3;HSPE1;NKX3-1;HSPD1
Cellular Response To Platelet-Derived Growth Factor Stimulus (GO:0036120)	2/8	0.00079195703794489	0.103180688372249	0	0	62.5345911949686	446.559729131333	SYAP1;MTSS2
Response To Platelet-Derived Growth Factor (GO:0036119)	2/9	0.00101464278537308	0.107666278963473	0	0	53.5983827493261	369.465372329225	SYAP1;MTSS2
Positive Regulation Of Protein Kinase Activity (GO:0045860)	5/145	0.00114497453724631	0.107666278963473	0	0	6.84882108183079	46.3827701575494	CENPE;HSP90AA1;SYAP1;SNX9;CAMKK1
Positive Regulation Of Cellular Catabolic Process (GO:0031331)	5/146	0.00118055130442405	0.107666278963473	0	0	6.79990360118433	45.8434115498108	PLK2;PRXL2C;ADAM9;SNX9;SVIP
Cellular Response To Peptide Hormone Stimulus (GO:0071375)	4/89	0.00138024766510099	0.114435079142919	0	0	8.96244343891403	59.0221025111434	NR4A3;INSIG2;SYAP1;SLC25A33
Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044)	2/14	0.00251997219642482	0.176108989657035	0	0	31.2578616352201	187.031646736488	ADAM9;SNX9
Positive Regulation Of Autophagy (GO:0010508)	4/107	0.00270905779824571	0.176108989657035	0	0	7.38946975354742	43.6802965030169	PLK3;SESN3;PLK2;SVIP
Cell Cycle G1/S Phase Transition (GO:0044843)	3/52	0.00279231030499606	0.176108989657035	0	0	11.5702623906706	68.0433936410229	PLK3;DBF4;PLK2
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280)	4/109	0.0028965294351486	0.176108989657035	0	0	7.24798534798535	42.3589804235029	EIF2AK3;HSPE1;NKX3-1;HSPD1
Mitotic Sister Chromatid Segregation (GO:0000070)	4/111	0.00309269528739622	0.176283631381585	0	0	7.1117900790798	41.0969888546226	CENPE;ANKRD53;TEX14;NCAPH
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	2/17	0.00372654650172913	0.19185170347439	0	0	25.0025157232704	139.820902238681	PLK3;PLK2
mRNA Transport (GO:0051028)	3/58	0.00380848422699646	0.19185170347439	0	0	10.3049350649351	57.4038881974808	FYTTD1;SLBP;EIF4A3
Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	3/59	0.0039969104890498	0.19185170347439	0	0	10.1204081632653	55.8872579445516	PLK3;CENPE;PLK2
DNA-templated Transcription (GO:0006351)	5/199	0.00452018285578532	0.206120338223811	0	0	4.92893604243819	26.6123254348231	IVNS1ABP;ZNF141;DDX21;SLC25A33;TCFL5
Endothelial Cell Development (GO:0001885)	2/20	0.00515157484487764	0.21363644898923	0	0	20.832285115304	109.753911177989	PDE2A;ICAM1
Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043)	2/21	0.0056738763837512	0.21363644898923	0	0	19.7348560079444	102.066360952132	ADAM9;SNX9
Chaperone-Mediated Protein Complex Assembly (GO:0051131)	2/21	0.0056738763837512	0.21363644898923	0	0	19.7348560079444	102.066360952132	HSP90AA1;HSPD1
Positive Regulation Of Protein Polymerization (GO:0032273)	3/70	0.00644827708396163	0.21363644898923	0	0	8.45415778251599	42.6422840722791	HSP90AA1;ANKRD53;SNX9
Positive Regulation Of Protein Transport (GO:0051222)	3/70	0.00644827708396163	0.21363644898923	0	0	8.45415778251599	42.6422840722791	PLK3;ADAM9;EZR
Artery Development (GO:0060840)	2/23	0.00678783518968437	0.21363644898923	0	0	17.8535489667565	89.1360429801961	PDE2A;TGFBR1
Axon Extension (GO:0048675)	2/23	0.00678783518968437	0.21363644898923	0	0	17.8535489667565	89.1360429801961	HSP90AA1;SEMA3F
Secondary Alcohol Biosynthetic Process (GO:1902653)	2/24	0.00737897237583023	0.21363644898923	0	0	17.041166380789	83.6571459471381	HMGCS1;INSIG2
Protein Kinase B Signaling (GO:0043491)	2/24	0.00737897237583023	0.21363644898923	0	0	17.041166380789	83.6571459471381	PLK3;NKX3-1
Gland Development (GO:0048732)	3/74	0.00751848001352596	0.21363644898923	0	0	7.97625754527163	39.0070204047489	EZR;TGFBR1;NKX3-1
Regulation Of Gene Expression (GO:0010468)	13/1127	0.00769652616453775	0.21363644898923	0	0	2.30666162713786	11.2264903059258	ZNF331;KDM6B;USP36;ZNF141;EOLA1;PDE2A;EIF2AK3;BACH1;LITAF;TGFBR1;EZR;NKX3-1;TCFL5
