Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of Type II Interferon Production (GO:0032649)	4/87	0.0030226345458059	0.379515851576556	0	0	7.1673158800616	41.5820894693048	PYCARD;SLAMF6;BTN3A2;VSIR
Positive Regulation Of Leukocyte Degranulation (GO:0043302)	2/13	0.00345794215783747	0.379515851576556	0	0	26.7367003367003	151.519063028627	FGR;ITGB2
B Cell Receptor Signaling Pathway (GO:0050853)	3/46	0.00384894781541902	0.379515851576556	0	0	10.3193335647345	57.3750350249847	CD79B;LAT2;SH2B2
Carboxylic Acid Biosynthetic Process (GO:0046394)	2/17	0.00592215257935664	0.379515851576556	0	0	19.602962962963	100.544680782904	PYCARD;CARNS1
Positive Regulation Of Type II Interferon Production (GO:0032729)	3/58	0.00737132806064005	0.379515851576556	0	0	8.0629579375848	39.5903925091623	PYCARD;SLAMF6;BTN3A2
Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	2/23	0.0107255248408577	0.379515851576556	0	0	13.9978835978836	63.4822061518104	SH2B2;CMKLR1
Positive Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043552)	2/26	0.0135948431152079	0.379515851576556	0	0	12.2462962962963	52.6353743171543	FGR;IRS1
Plasma Membrane Invagination (GO:0099024)	2/26	0.0135948431152079	0.379515851576556	0	0	12.2462962962963	52.6353743171543	BIN2;ITGB2
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	4/134	0.0136414542042888	0.379515851576556	0	0	4.56518218623482	19.6058232415402	CD79B;LAT2;BTN3A2;SH2B2
Regulation Of Nitric-Oxide Synthase Activity (GO:0050999)	2/28	0.0156717123561574	0.379515851576556	0	0	11.3031339031339	46.974671044929	FCER2;NOSIP
Regulation Of Innate Immune Response (GO:0045088)	3/78	0.0164653931522599	0.379515851576556	0	0	5.90686567164179	24.2565113064701	FGR;PTPN6;SAMHD1
Positive Regulation Of Endopeptidase Activity (GO:0010950)	2/29	0.0167578839974238	0.379515851576556	0	0	10.883950617284	44.5032381474514	PYCARD;VSIR
Positive Regulation Of Lipid Kinase Activity (GO:0090218)	2/30	0.0178752431510281	0.379515851576556	0	0	10.494708994709	42.2342623734586	FGR;IRS1
Phagocytosis, Engulfment (GO:0006911)	2/30	0.0178752431510281	0.379515851576556	0	0	10.494708994709	42.2342623734586	BIN2;ITGB2
Regulation Of Calcium-Mediated Signaling (GO:0050848)	2/30	0.0178752431510281	0.379515851576556	0	0	10.494708994709	42.2342623734586	P2RX5;CMKLR1
Defense Response To Symbiont (GO:0140546)	4/148	0.0189591483959387	0.379515851576556	0	0	4.11842105263158	16.3314697734721	PYCARD;APOBEC3C;MLKL;SAMHD1
Leukocyte Cell-Cell Adhesion (GO:0007159)	2/31	0.0190233181556845	0.379515851576556	0	0	10.1323116219668	40.1451283347526	NT5E;ITGB2
Regulation Of Response To Biotic Stimulus (GO:0002831)	2/31	0.0190233181556845	0.379515851576556	0	0	10.1323116219668	40.1451283347526	FGR;SAMHD1
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	2/33	0.0214097535816054	0.379515851576556	0	0	9.47765830346476	36.4312530751236	PTPN6;SAMHD1
Regulation Of Interleukin-17 Production (GO:0032660)	2/34	0.0226471950748822	0.379515851576556	0	0	9.18101851851852	34.775120783544	SLAMF6;VSIR
Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043551)	2/34	0.0226471950748822	0.379515851576556	0	0	9.18101851851852	34.775120783544	FGR;IRS1
Macrophage Activation (GO:0042116)	2/35	0.0239135144685411	0.379515851576556	0	0	8.9023569023569	33.2352715869246	FCER2;ITGB2
Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959)	2/40	0.0306627799167013	0.379515851576556	0	0	7.72904483430799	26.9334469025429	PYCARD;PTPN6
Nucleic Acid-Templated Transcription (GO:0097659)	2/40	0.0306627799167013	0.379515851576556	0	0	7.72904483430799	26.9334469025429	TCEA3;TCEANC2
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	1/5	0.03378711383543	0.379515851576556	0	0	36.5055147058824	123.668848613695	IQSEC1
Positive Regulation Of Killing Of Cells Of Another Organism (GO:0051712)	1/5	0.03378711383543	0.379515851576556	0	0	36.5055147058824	123.668848613695	FCER2
Regulation Of Focal Adhesion Disassembly (GO:0120182)	1/5	0.03378711383543	0.379515851576556	0	0	36.5055147058824	123.668848613695	IQSEC1
Osmosensory Signaling Pathway (GO:0007231)	1/5	0.03378711383543	0.379515851576556	0	0	36.5055147058824	123.668848613695	PYCARD
Purine Deoxyribonucleotide Catabolic Process (GO:0009155)	1/5	0.03378711383543	0.379515851576556	0	0	36.5055147058824	123.668848613695	SAMHD1
Negative Regulation Of Cytokine Production (GO:0001818)	4/178	0.0342158232726696	0.379515851576556	0	0	3.40316308011408	11.4859036561516	PYCARD;PTPN6;VSIR;CMKLR1
Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	2/44	0.0365375827110866	0.379515851576556	0	0	6.99153439153439	23.1378809915119	PYCARD;ITGB2
Regulation Of Interleukin-10 Production (GO:0032653)	2/46	0.0396242800413738	0.379515851576556	0	0	6.67306397306397	21.5427406171417	PYCARD;VSIR
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	3/110	0.039940136071191	0.379515851576556	0	0	4.13363091086623	13.3118356264696	TBXA2R;ADGRG5;ADGRL1
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	SAMHD1
Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	SCIMP
Toll-Like Receptor 3 Signaling Pathway (GO:0034138)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	SCIMP
Glandular Epithelial Cell Development (GO:0002068)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	CDK6
Type B Pancreatic Cell Development (GO:0003323)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	CDK6
Histidine Catabolic Process (GO:0006548)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	CARNS1
Histidine Metabolic Process (GO:0006547)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	CARNS1
Nucleotide Catabolic Process (GO:0009166)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	SAMHD1
Macropinocytosis (GO:0044351)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	PYCARD
Regulation Of Skeletal Muscle Contraction (GO:0014819)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	SCN4A
Copper Ion Import (GO:0015677)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	STEAP3
Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	VSIR
Positive Regulation Of Cell Killing (GO:0031343)	1/6	0.040407308005575	0.379515851576556	0	0	29.2029411764706	93.7047803632598	FCER2
Negative Regulation Of Inflammatory Response (GO:0050728)	3/111	0.0408503548097653	0.379515851576556	0	0	4.09514925373134	13.0956311560231	FGR;PTPN6;TNFAIP8L2
Defense Response To Virus (GO:0051607)	4/189	0.041183843789189	0.379515851576556	0	0	3.19902458849827	10.2039582907537	PYCARD;APOBEC3C;MLKL;SAMHD1
