Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Attenuation Phase R-HSA-3371568	3/26	0.000363690556905539	0.0741312967406236	0	0	24.6819875776398	195.46177300147	HSP90AA1;HSPH1;HSPA2
Scavenging By Class F Receptors R-HSA-3000484	2/6	0.000427269721847975	0.0741312967406236	0	0	93.811320754717	727.797145719859	HSP90AA1;HSPH1
HSF1-dependent Transactivation R-HSA-3371571	3/36	0.000960352078753263	0.111080723775794	0	0	17.1939393939394	119.467111815811	HSP90AA1;HSPH1;HSPA2
TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115	2/21	0.0056738763837512	0.396225178090435	0	0	19.7348560079444	102.066360952132	PLK3;PLK2
RNA Polymerase II Transcription Termination R-HSA-73856	3/67	0.0057092965142714	0.396225178090435	0	0	8.85178571428571	45.7253106598831	FYTTD1;SLBP;EIF4A3
Transport Of Mature Transcript To Cytoplasm R-HSA-72202	3/83	0.0102912666506066	0.411527338839196	0	0	7.07571428571429	32.3817208627531	FYTTD1;SLBP;EIF4A3
HSF1 Activation R-HSA-3371511	2/29	0.0106660214694347	0.411527338839196	0	0	13.8819007686932	63.0334379019074	HSP90AA1;HSPH1
Cellular Response To Heat Stress R-HSA-3371556	3/99	0.0165148281278135	0.411527338839196	0	0	5.89166666666667	24.1764342954227	HSP90AA1;HSPH1;HSPA2
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497	2/38	0.0178967053977828	0.411527338839196	0	0	10.4067085953878	41.8676314556009	HSP90AA1;HSPA2
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	2/41	0.0206580947385911	0.411527338839196	0	0	9.60474117077891	37.2630152517693	HSP90AA1;HSPH1
Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397	2/43	0.0225912268872475	0.411527338839196	0	0	9.13529682466636	34.6245439143067	SLC35A2;SLCO4A1
Gene Expression (Transcription) R-HSA-74160	14/1449	0.0239846948850614	0.411527338839196	0	0	1.91562013492475	7.14591319804532	ZNF331;FYTTD1;SLBP;PLK3;HSP90AA1;PLK2;EIF4A3;ZNF10;ELL2;HSPD1;NR4A3;SESN3;JMY;SKIL
RNA Polymerase II Transcription R-HSA-73857	13/1312	0.0244615796342922	0.411527338839196	0	0	1.95866455978283	7.26792172484482	ZNF331;FYTTD1;SLBP;PLK3;PLK2;EIF4A3;ZNF10;ELL2;HSPD1;NR4A3;SESN3;JMY;SKIL
Sodium-coupled Phosphate Cotransporters R-HSA-427652	1/5	0.0267124374131317	0.411527338839196	0	0	46.4672897196262	168.333611949196	SLC20A1
Abacavir Transmembrane Transport R-HSA-2161517	1/5	0.0267124374131317	0.411527338839196	0	0	46.4672897196262	168.333611949196	ABCB1
TFAP2A Acts As A Transcriptional Repressor During Retinoic Acid Induced Cell Differentiation R-HSA-8869496	1/5	0.0267124374131317	0.411527338839196	0	0	46.4672897196262	168.333611949196	HSPD1
vRNP Assembly R-HSA-192905	1/5	0.0267124374131317	0.411527338839196	0	0	46.4672897196262	168.333611949196	HSP90AA1
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	2/49	0.0288138892873746	0.411527338839196	0	0	7.96668004817342	28.256999467497	PLK3;PLK2
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499	2/51	0.0310234985969286	0.411527338839196	0	0	7.64073931459376	26.5363666631108	PI4K2A;MTMR6
Proton-coupled Monocarboxylate Transport R-HSA-433692	1/6	0.0319694869760854	0.411527338839196	0	0	37.1719626168224	127.982077143147	SLC16A1
Uptake And Function Of Diphtheria Toxin R-HSA-5336415	1/6	0.0319694869760854	0.411527338839196	0	0	37.1719626168224	127.982077143147	HSP90AA1
Classical Antibody-Mediated Complement Activation R-HSA-173623	1/6	0.0319694869760854	0.411527338839196	0	0	37.1719626168224	127.982077143147	C1S
