Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
CD22 Mediated BCR Regulation R-HSA-5690714	2/6	0.000686233262261982	0.149598851173112	0	0	73.5518518518519	535.773236314636	CD79B;PTPN6
Lysosphingolipid And LPA Receptors R-HSA-419408	2/14	0.0040162188900473	0.215171543716624	0	0	24.5074074074074	135.217522379061	LPAR5;S1PR4
Eicosanoid Ligand-Binding Receptors R-HSA-391903	2/15	0.00461337924893567	0.215171543716624	0	0	22.6210826210826	121.674158512159	CYSLTR1;TBXA2R
Neutrophil Degranulation R-HSA-6798695	9/468	0.00499493907161098	0.215171543716624	0	0	2.97242647058824	15.7518689610898	PYCARD;PLAC8;FGR;BIN2;ANPEP;ITGB2;PTPN6;METTL7A;LAIR1
Regulation Of KIT Signaling R-HSA-1433559	2/16	0.0052488722606703	0.215171543716624	0	0	21.0042328042328	110.266803822131	PTPN6;SH2B2
Platelet Sensitization By LDL R-HSA-432142	2/17	0.00592215257935664	0.215171543716624	0	0	19.602962962963	100.544680782904	FGR;PTPN6
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	4/123	0.0102127569856134	0.280858268305932	0	0	4.98995387628736	22.8745356633351	TREML2;ITGB2;SLAMF6;LAIR1
Growth Hormone Receptor Signaling R-HSA-982772	2/24	0.0116485087629212	0.280858268305932	0	0	13.3609427609428	59.4906279100204	IRS1;PTPN6
Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424	2/25	0.012605113827609	0.280858268305932	0	0	12.7793880837359	55.8926050438009	PYCARD;NT5E
Signaling By ALK R-HSA-201556	2/26	0.0135948431152079	0.280858268305932	0	0	12.2462962962963	52.6353743171543	IRS1;PTPN6
Phospholipid Metabolism R-HSA-1483257	5/208	0.0143470249313132	0.280858268305932	0	0	3.66845797880281	15.5697158701603	ACP6;SH2D3C;TNFAIP8L1;PLD6;TNFAIP8L2
