#PAIRS OMICS (TRASCRIPTOMICS-METHYLOMICS)#
AIRE	GRM8	HSPA6	IRX4	RFC2	DLX4	FHIT	PRR5L	SMYD3	CNGA2	CD79B	PTPN6	RGS19	BIN2	AC010247.2	FNDC5	DEXI	LSMEM1	EZR	CPNE5	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	29253179		10.1093/nar/gkx1259	20	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	32596350		10.1155/2020/6840234	12	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	26980013	ESCC/EZR/Epigenetics/LOXL2/SMYD3/Target genes/Transcriptional regulation	10.1016/j.humpath.2016.01.012	12	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	33901562		10.1016/j.jid.2021.03.027	2	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15290774		10.1142/s0219720003000113	2	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
#SINGLE OMICS (TRASCRIPTOMICS)#
AIRE	GRM8	HSPA6	IRX4	RFC2	DLX4	FHIT	PRR5L	SMYD3	CNGA2	CD79B	PTPN6	RGS19	BIN2	AC010247.2	FNDC5	DEXI	LSMEM1	EZR	CPNE5	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	29253179		10.1093/nar/gkx1259	20	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	32596350		10.1155/2020/6840234	12	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	26980013	ESCC/EZR/Epigenetics/LOXL2/SMYD3/Target genes/Transcriptional regulation	10.1016/j.humpath.2016.01.012	12	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	33901562		10.1016/j.jid.2021.03.027	2	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15290774		10.1142/s0219720003000113	2	2	molecular biology 3/cancer incidence 2/cancer incidence coastal 2/cancer incidence coastal chaoshan 2/domain-containing protein 2/enhance proliferation 2/enhancing transcription 2/esophageal squamous 2/human cancer 2/positively correlated 2
#SINGLE OMICS (METHYLOMICS)#
AIRE	GRM8	HSPA6	IRX4	RFC2	DLX4	FHIT	PRR5L	SMYD3	CNGA2	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
1	0	0	0	0	0	0	0	10	0	40317558	SMYD3/acute kidney injury/dedifferentiation/ischemia–reperfusion/proliferation/renal epithelial cells	10.1096/fj.202500089R	11	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
2	6	0	0	0	0	0	0	0	0	38918065	electrophysiology/mGlu receptor/mGlu8/sensorimotor gating/thalamic reticular nucleus/thalamocortical system	10.1523/JNEUROSCI.0119-24.2024	8	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
1	0	0	0	0	0	0	0	6	0	40080525		10.1158/0008-5472.CAN-24-2117	7	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
1	0	0	0	0	0	0	0	4	0	39286779	H3K4me3/Rac1 promoter/SMYD3/ZYZ384/antitumor/small molecule	10.1002/mco2.711	5	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
1	0	0	0	0	0	0	0	1	0	39775791	Alzheimer’s disease/GWAS/UK Biobank/artificial intelligence/machine learning/neural networks	10.1093/bib/bbae704	2	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
1	0	0	0	0	0	0	0	1	0	38778419	Comorbidity/Depression/Genome-wide association study/Sleep disorders	10.1186/s40246-024-00609-5	2	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
1	0	0	0	1	0	0	0	0	0	38171490	Chiridota heheva/Hi-C/gene family/positively selected gene/unique gene	10.1093/gigascience/giad107	2	2	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
0	0	0	13	0	0	0	0	0	0	39487222		10.1038/s43856-024-00613-9	13	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
12	0	0	0	0	0	0	0	0	0	40330469	AIRE/APECED/Autoimmune polyendocrine syndrome type/Autoimmune primary adrenal insufficiency/HEK293FT/RNAseq/pernicious anemia/type 1 diabetes (T1D)	10.3389/fimmu.2025.1572789	12	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
0	0	0	0	0	0	12	0	0	0	39752787	EMT/FHIT/HER2/LRP1/NSCLC	10.1016/j.ejcb.2024.151475	12	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
0	0	0	0	0	0	0	0	12	0	38812026	Cancer/Chemosensitivity/DNA damage response/Drug resistance/SMYD3	10.1186/s13046-024-03078-9	12	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
0	0	0	0	0	0	12	0	0	0	38563472		10.1093/plphys/kiae192	12	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
0	0	0	0	0	0	11	0	0	0	38069335	FHIT/LINC00173/SNAIL/lncRNA/lung adenocarcinoma/tumor suppressor gene	10.3390/ijms242317011	11	1	association studies 4/genome-wide association 3/genome-wide association studies 3/targeting smyd3 3/therapeutic target 3/tumor suppressor 3/association study 2/cancer progression 2/fragile histidine 2/histone lysine 2
