features	weights	abs_weight
RPL15P5	0.578370137669222	0.578370137669222
H3P47	0.578945779597893	0.578945779597893
IGFBP4	0.579529208280777	0.579529208280777
AL591135.1	0.580715245975527	0.580715245975527
GRIK4	0.581061091010097	0.581061091010097
SYNPO	0.581755156365985	0.581755156365985
IGHV5-78	0.581912821906932	0.581912821906932
AC005521.1	0.583790204504661	0.583790204504661
SLC13A4	0.584102105418391	0.584102105418391
AC245884.6	0.58419360375471	0.58419360375471
MFSD3	0.586455620622161	0.586455620622161
IQSEC1	0.58706059908433	0.58706059908433
P2RX5	0.587336522198878	0.587336522198878
EBF1	0.587418542595457	0.587418542595457
ADGRG5	0.587627468252264	0.587627468252264
TNFAIP8L2	0.588682301479296	0.588682301479296
AC091685.2	0.590271169981136	0.590271169981136
ANO8	0.590782313795098	0.590782313795098
AC079250.1	0.591362304015632	0.591362304015632
AC106806.1	0.591623755432659	0.591623755432659
MIR5195	0.59195617165092	0.59195617165092
TREML2	0.59244154912225	0.59244154912225
MMP17	0.592465362611092	0.592465362611092
RPL29P33	0.594495221887516	0.594495221887516
AC119396.2	0.597541860653827	0.597541860653827
AL513534.2	0.597952121870442	0.597952121870442
RBFADN	0.598458790448848	0.598458790448848
AC023794.3	0.59863573965954	0.59863573965954
ACP6	0.601062195892903	0.601062195892903
STEAP3	0.601969715756943	0.601969715756943
AC004494.1	0.603936752658932	0.603936752658932
TNR	0.60444972425418	0.60444972425418
CD72	0.604757383862207	0.604757383862207
CALHM2	0.60527588960907	0.60527588960907
C1orf162	0.605826364015296	0.605826364015296
PPIAP22	0.605913398669387	0.605913398669387
AC008555.2	0.607295250894471	0.607295250894471
EAF2	0.60759855065373	0.60759855065373
TMSB4XP2	0.608456696264637	0.608456696264637
LINC02161	0.608543606903465	0.608543606903465
CD82	0.609134867279964	0.609134867279964
NOSIP	0.609996968224637	0.609996968224637
LINC02610	0.613654915986579	0.613654915986579
CMKLR1	0.616824408842107	0.616824408842107
AL355076.2	0.617000097020592	0.617000097020592
AC009686.2	0.617843937401068	0.617843937401068
AC020917.1	0.617857345728206	0.617857345728206
ADGRL1	0.619094369715516	0.619094369715516
PLGLA	0.620104771910014	0.620104771910014
DCHS1	0.622099936524448	0.622099936524448
PKIG	0.623106123015758	0.623106123015758
IGF2BP3	0.623515755470334	0.623515755470334
TBXA2R	0.626300804869008	0.626300804869008
PLD6	0.627690310866219	0.627690310866219
TCEA3	0.629108400142798	0.629108400142798
PLGLB1	0.631176968516849	0.631176968516849
MDS2	0.631713136931929	0.631713136931929
BX119917.1	0.634413209661116	0.634413209661116
FCER2	0.635930675961921	0.635930675961921
ELK3	0.637279295378427	0.637279295378427
OSER1-DT	0.637956586561429	0.637956586561429
ANPEP	0.639073195924888	0.639073195924888
ACAP3	0.639823554010691	0.639823554010691
LRFN3	0.641359563379115	0.641359563379115
LAIR1	0.643567932390715	0.643567932390715
RGS3	0.643753050869894	0.643753050869894
PLAC8	0.645302236185442	0.645302236185442
SCML4	0.646700582559472	0.646700582559472
P2RX5-TAX1BP3	0.647365123685999	0.647365123685999
NXPH4	0.647738294649145	0.647738294649145
AC010768.2	0.648916630621244	0.648916630621244
MLKL	0.653913921826227	0.653913921826227
