"k","subsetmean","subsetsd","subsetbrd","subsetrecover"
2,0.845191841412281,0.0902360855462883,0,83
2,0.827770362438277,0.134698278158329,5,83
3,0.632010559767411,0.155776733477376,23,28
3,0.689597530954435,0.18938230772644,19,44
3,0.602749780994178,0.247619870470839,39,31
4,0.785196318329653,0.114071881683856,1,65
4,0.805723208238113,0.121546238857198,4,74
4,0.82174933344594,0.171160146471269,10,71
4,0.740754221456069,0.149521155295801,6,59
5,0.806442469919465,0.100022970993801,0,77
5,0.668716673913783,0.145107596768249,17,35
5,0.858335230129348,0.107358338674989,1,86
5,0.726519675499939,0.112731189086209,3,37
5,0.586176890413446,0.18692956064729,35,21
6,0.579962615093781,0.253435418569899,39,30
6,0.743972097347097,0.136547418360707,8,47
6,0.838258530685001,0.112096370775672,3,84
6,0.702939377196564,0.164230273819676,13,43
6,0.645864188045663,0.14420372026141,20,27
6,0.776131580234202,0.143045487749637,7,63
7,0.643410238282529,0.196526601452236,21,31
7,0.798075105450105,0.120216083553079,2,67
7,0.592243607499648,0.169736211414042,41,19
7,0.809515956265956,0.149987816670026,3,67
7,0.503328994114429,0.182497754619894,57,8
7,0.480120598121253,0.154512869722377,60,5
7,0.744622488064052,0.163551024640701,12,52
8,0.643897508537214,0.199242855130083,23,29
8,0.589950809252667,0.23131942777308,40,32
8,0.77901153013653,0.13599952199694,6,63
8,0.839312049062049,0.135958211062264,5,81
8,0.552412508518189,0.198620730249179,43,16
8,0.512274415738462,0.151950585997827,48,6
8,0.679588416270692,0.156668378769279,22,34
8,0.555362984633933,0.185591048559787,46,14
