"","H005","H010","H011","H012","H013","H014","H015","H016","H017","H019","H020","H021","H023","H027","H028","H029","H030","H031","H033","H035","H036","H037","H038","H039","H040","H041","H042","H043","H044","H045","H046","H047","H048","H049","H051","H053","H054","H055","H056","H057","H058","H059","H060","H063","H065","H066","H069","H072","H073","H077","H078","H079","H080","H081","H082","H084","H088","H089","H090","H093","H094","H095","H099","H100","H101","H102","H103","H104","H105","H107","H108","H109","H110","H111","H113","H115","H117","H118","H135","H148","H163","H164","H165","H167","H169","H171","H173","H187","H192","H194","H225","H228","H231","H233","H234","H236","H238","H239","H240","H242","H243","H246","H247","H249","H255","H257","H260","H265","H266","H270","H271"
"H005",0.694252103053496,0.00531358335975482,0.0038959337472632,0.00338938969757909,0.00964051975929194,0.00649239091220226,0.0115688998427698,0.0318235177881117,0.0029157115251089,0.031059051497688,0.0132871606250142,0.010096366228448,0.00484568981958014,0.00563657665131365,0.0103331013329891,0.0709415445176356,0.00705325868738768,0.0319177738299607,0.00625554967722334,0.0180046440248018,0.00708080495680205,0.0271896780498297,0.00472214324470982,0.0105911828975532,0.0242911465478987,0.0102422197264085,0.00467727162829077,0.00704563203759719,0.0233495897247326,0.00297647249640561,0.00320129394065732,0.00259881160673007,0.0441150682119137,0.0165307087021915,0.0200604336279834,0.0166434003149828,0.0036386191911293,0.0120119279891928,0.00913394700860377,0.0227132901707458,0.0580103119831998,0.0102443222592182,0.00298016336098455,0.0148520625956987,0.0040995830065757,0.00598982359504346,0.00347944306589657,0.0362245806259317,0.046509852374351,0.00453134347296393,0.00410811647084366,0.0183650780113828,0.00361208820780379,0.00369287615544186,0.0132936683877562,0.0072750641659015,0.00512977965206928,0.0163466011846942,0.0250870453526012,0.00805371846975664,0.0216398821114383,0.0169617589963061,0.00830936712609164,0.00718154019760997,0.00969769950894468,0.0141728858741473,0.0332887634674934,0.00475718205342454,0.00896387895419198,0.049934320721957,0.015359513519823,0.0072040003333766,0.003481364060014,0.00736254302260364,0.0480929004474513,0.136021809559107,0.0238818258092553,0.0239505113903383,0.00734473944179803,0.00811033091559273,0.0038561746241532,0.00429162661602865,0.00315112714518032,0.015297800977098,0.0107461154639792,0.0148161225967076,0.0585993837191979,0.00604527294054488,0.0501521149005123,0.0113792995977805,0.00440565509712209,0.0181195814632445,0.00475221626978173,0.00488133940845454,0.0137776297669515,0.00273894434431193,0.00358841797800265,0.00689004317434982,0.0293524629099593,0.00469127418163607,0.00302099204443176,0.00756874114272434,0.00435566093861434,0.00658741058155793,0.00566076339075265,0.00270885557041004,0.00665341783752657,0.00527355899447843,0.00725359492274646,0.0382758662334728,0.00514643173695183
"H010",0.00531358335975482,1.90167866068056,8.31941804297311e-05,0.0599187820538362,0.0353419255030046,0.0122999828415873,0.0428449521911475,0.0068541166714994,0.0551355204644257,0.0010984916245664,0.000298951161956818,0.000191678116074497,0.0272725947617508,0.0734267833699412,0.000812436976176769,0.00736888230767724,0.0586565766963609,0.000636887758705825,8.15412008373055e-05,0.00151730218229941,8.2199763960328e-05,0.00326781376046745,4.24312564716113e-05,0.000495234186325041,0.015290413184772,0.000475012920665767,0.0499194828379841,0.100675736182801,0.00419894341833578,0.0485078362867994,2.53807667720337e-05,0.0441842569587883,0.00279569031471793,0.020426334585433,0.00960417543516622,0.000298515287987432,3.35962322826601e-05,9.89397635096974e-05,0.000158413449140435,0.000237175294176048,0.00113595290897392,0.000265984886032671,2.95592227200161e-05,0.0248863592323706,0.129902998384447,0.108979429962446,0.0646968000290094,0.00377847339956166,0.00576375887422204,0.0518775531922817,0.015147281638574,0.0330871844974607,0.0640042029819902,3.25069700496846e-05,0.000365664555857887,0.0456224273020887,4.4120500690501e-05,0.000315937989576083,0.00413815821414817,0.0396621623272796,0.000453687659007834,0.0951680005642858,0.000326512569432406,9.47042846825743e-05,0.000151752259794248,0.0483217585162311,0.000584025717107899,0.0599687392650088,0.000119573240759404,0.0159541783326402,0.000196174334064449,0.0417883743657315,2.82578359604925e-05,0.0470721638833872,0.00599019219183705,0.00377074615878928,0.0612959862298165,0.00154148922577918,0.000154315493251136,0.0276062548697984,0.000118937534433179,0.0498908093642936,0.2114459936082,0.035378136240174,0.000668732617227484,0.0524430636939803,0.00498334294765094,0.117285367628579,0.00770761179735806,0.000294725021777455,5.09546668415282e-05,0.00204476494056873,0.254158618087683,0.0616345297199866,0.0335862155518375,3.12603022747817e-05,0.0625039302160878,0.0721463299095973,0.00166820262409581,0.0134570656086353,0.0468897170753483,0.0187436085157244,0.000161154763184729,0.0269754158814976,0.0231837041993062,0.0441424448368981,0.0285848659719678,0.0242640529388426,0.000283234324996592,0.00105804208459037,0.000344353986705261
"H011",0.0038959337472632,8.31941804297311e-05,1.35075367354053,2.48478197813213e-05,0.000158978694836203,0.000260326469544876,0.000492034585856992,0.00856235212788799,1.24397213035663e-05,0.0119821489103061,0.0343986991221065,0.0263897764774091,0.000246733999747848,0.000167935475852353,0.0145297059526902,0.00374814309839876,4.30092351690536e-05,0.0141430168881572,0.0458524023842723,0.0117602598432945,0.025019419945275,0.0227088826745262,0.0908818381489577,0.0253991986362173,0.0046810629741963,0.0384174077571452,2.67262130228558e-05,0.000208949862855578,0.00400250340266771,1.2802579919616e-05,0.0795908154130639,1.14380507318503e-05,0.00557099260358285,0.00256584359759147,0.00523878029362686,0.0294613767569278,0.194191823053345,0.0357930560529241,0.0206439206534549,0.0289841536189829,0.00616506207623404,0.0417335577845027,0.0733578232877172,0.003639243367184,2.74933676933098e-05,0.000166133517254292,2.15638980292171e-05,0.00563035461889173,0.00344949275037792,9.01638640111964e-05,0.000142656690205045,0.00051319186983809,1.82702758406333e-05,0.0941172824598496,0.060703517455069,0.0001255340570186,0.0673431287240848,0.0200138455579219,0.0067047797758732,0.000111235387600565,0.0193367917341498,0.000154147644457931,0.0528743877699836,0.0387978676287841,0.0257372484586023,0.000484343579056176,0.00976296060255878,2.88495857679095e-05,0.0594593188782991,0.000993188117520826,0.0360988062667801,6.94001659335199e-05,0.0710430307079976,5.19425621570037e-05,0.00852268700416941,0.00476737503057575,0.000259843605225906,0.0410310174981121,0.0434350077052655,0.000223144283602148,0.0422763358851545,5.5204535234268e-05,1.79031982660428e-05,0.000132841632628605,0.0433567440423939,0.00029510363573944,0.00315213260611154,7.7915612868869e-05,0.00312583105012575,0.0312889983721907,0.0513053282789596,0.0136911478040775,7.36215254154248e-05,4.96094046059169e-05,0.000139107948636079,0.474211360310501,1.87750207080232e-05,8.83319239766243e-05,0.00912202476614183,0.000190229623534053,1.61121516485613e-05,0.000140011183498423,0.0304352330352742,0.000210351005994152,7.53937502838464e-05,1.17602093025117e-05,9.64447553418207e-05,6.76670426616046e-05,0.0226287079301104,0.0100446112388365,0.0298329018980933
"H012",0.00338938969757909,0.0599187820538362,2.48478197813213e-05,3.16426763929908,0.0273365093471276,0.00750628622461076,0.0210429382972065,0.00325120140766954,0.286252386025965,0.000605934467306508,0.000110169821838206,5.32689171720349e-05,0.00801945040849763,0.0229368690984419,0.000302607386158966,0.00510791496465201,0.0938738626448979,0.000191864473754025,2.15901440010416e-05,0.000619857013189204,2.68109347367882e-05,0.00175713708988276,1.13227882493451e-05,0.000144973294623214,0.00701543246989707,0.000166397841376325,0.125682156228178,0.0186050008427862,0.00232518316713434,0.248648932687536,7.20884466062579e-06,0.292704697183923,0.000993821086353214,0.00723758027341777,0.00739983714172181,9.73687347037208e-05,1.06015970812353e-05,3.37957229255606e-05,5.34709520868509e-05,9.01857507077245e-05,0.000423178111107701,9.01313599180805e-05,8.06153193879777e-06,0.00937797393181456,0.145407283026064,0.0286724782209518,0.152029513912895,0.00120130337460221,0.00386357342085206,0.0309192419484515,0.0103359988723463,0.0165301489567448,0.175587375055115,7.95445441524583e-06,0.000141346083121034,0.0311411936716861,1.34572466397389e-05,0.000101774004772184,0.00198956275684471,0.0416644106403815,0.000142518215977907,0.0719827397757407,0.000124720086729078,2.77571558958447e-05,4.27888690361233e-05,0.0144669752666521,0.000194912582368198,0.141526139625541,3.41877106724988e-05,0.0117859501050283,6.41369965757195e-05,0.0511926291143534,7.57613701446781e-06,0.0682347934104116,0.00270522767860154,0.00168605884104956,0.0334260898513634,0.000572837255170911,5.27231951997087e-05,0.02084660913117,3.78675836489576e-05,0.073557105325328,0.188985851256282,0.0338833679066949,0.00022775935538921,0.0252042163772342,0.00248207479034713,0.0745526923100065,0.00593757521323535,0.000104064685578556,1.47330535026793e-05,0.00065852203135581,0.0487850675760114,0.11658443592396,0.0312627005553435,8.75917094510468e-06,0.212781627260331,0.0588693633883747,0.000637231962204159,0.0086880811234174,0.194649948193165,0.0155803559259563,5.74204568957615e-05,0.0130959741636184,0.0215499258946822,0.277888449064707,0.0227461537420664,0.0260331388584122,0.000101916845895499,0.000484095031532321,0.000128015257859674
"H013",0.00964051975929194,0.0353419255030046,0.000158978694836203,0.0273365093471276,1.41730037724233,0.00957138980133477,0.0301434165887862,0.0113318249430475,0.025437094041722,0.00322077899998026,0.000533968840223885,0.000391521736533299,0.00942956227913334,0.0228577469336683,0.00171765998961569,0.00890282973505831,0.0463061142514868,0.00140819216070151,0.000185940549599203,0.00319375879003845,0.000203069843686145,0.00417159438615651,9.42773619784039e-05,0.000702553130910491,0.0334527501248474,0.000888282844749761,0.029409804345147,0.0368467300606409,0.0115520616576102,0.022977918136301,6.79487417635125e-05,0.0202075404211478,0.00377183690534418,0.0162205177589032,0.0184425010270057,0.000526709994656309,9.03122190196478e-05,0.000258191433226836,0.000384644262561164,0.000590851485637404,0.0029259109857015,0.000506026790823159,7.08337205961193e-05,0.0119337748226027,0.0261914509775211,0.0275077053573576,0.0423030435401317,0.00302575254522982,0.0190410155053533,0.0167764399408605,0.0109098020156555,0.0338206044066865,0.0293774894994389,7.9557003574406e-05,0.00081240696544319,0.025418711541745,0.000122577352165959,0.000668733105822343,0.00625285885816595,0.0291984871547934,0.000788241799547511,0.0839904615048115,0.00037738418307687,0.000190725669814238,0.000289577052395473,0.0359233660638838,0.00160900971589547,0.0285903441041472,0.000231955855268764,0.0182628159780682,0.000425118734550612,0.440789549068393,7.00438532089512e-05,0.0454371467059758,0.00908981732019173,0.00590541175140529,0.0461215485784749,0.00241346815448298,0.000326391045027452,0.0181657225350224,0.000248791116367959,0.0218281596372351,0.0281545142189992,0.027228276890603,0.000730686023600529,0.0467300884489718,0.0120852828553219,0.0612024865083866,0.00914927168472847,0.000535470521451842,0.000124581039616536,0.00288997531625013,0.0222398082720579,0.049254819370557,0.25661977354781,7.38405848430739e-05,0.0315825115755627,0.0249799477422433,0.0018709441807007,0.00928419313364657,0.0235408497891129,0.0894449123952174,0.000319083179218917,0.0159147805462059,0.0322577162656514,0.0240980474983798,0.0238785842643769,0.0237744372696923,0.00048756237377296,0.00239584456852437,0.00049234857514256
"H014",0.00649239091220226,0.0122999828415873,0.000260326469544876,0.00750628622461076,0.00957138980133477,1.28715557859555,0.0113631602323611,0.00561111590796561,0.003935416219102,0.00177212993199843,0.000746824437043493,0.000558021227165293,0.144661218762979,0.0443766533446247,0.00154710822840565,0.00639060610105624,0.0127227557445243,0.000801294692974898,0.000293581900206669,0.00221816008983092,0.000227197384761021,0.00379625643233661,0.000183678639103254,0.00175240392862857,0.0212186724306299,0.000845441728764475,0.00640575440510428,0.0465473345241754,0.00621411926447297,0.00424322735860719,0.000125629603689761,0.00396633919403636,0.00255112993740486,0.0164038264993618,0.03723001876556,0.000526578681472823,0.000144226378116287,0.000260536160796451,0.000436494510736988,0.000563900797522761,0.00135179756781962,0.000713840077175926,0.000130544750077332,0.0227281325144877,0.0101009215395324,0.088954095102244,0.00585083137925168,0.00306607176870107,0.00719663307708012,0.0519921848411144,0.353955239202639,0.0146325447447458,0.00491714714852119,0.000145008448693301,0.00113815542046125,0.0400798344982019,0.000218066601257336,0.000470415465153866,0.00684950706587018,0.0211738286976413,0.000928357044844717,0.0162229489008027,0.00109076023447047,0.000247535386302846,0.000376854731990294,0.0506216745290852,0.00112038847118072,0.00649095827725925,0.000309199508947209,0.0102583807314955,0.000717283006682805,0.00888475023912354,0.000137126886592472,0.00842028442918011,0.00417172853593565,0.00396773422849339,0.0166255161410361,0.00405385632170378,0.000542498685772482,0.245248393971418,0.00043337794745234,0.0384115496967975,0.00483010248474632,0.0239197948770326,0.00155489605616718,0.0114677671168022,0.00497349643886731,0.0100652206493356,0.00730177956629563,0.000489129882491083,0.000186824841486379,0.00250209778757383,0.0261593042525482,0.0239806715948559,0.0105431617380961,0.000118405719469253,0.0049704308031746,0.033966894310304,0.00292875693227132,0.223588057522379,0.00483871945710706,0.0083747704113624,0.000535326428706279,0.0241105104190184,0.00814970262112925,0.00387792896247685,0.00848409665740201,0.00769982638935464,0.000614459144884769,0.00189506030229066,0.00108608422218005
"H015",0.0115688998427698,0.0428449521911475,0.000492034585856992,0.0210429382972065,0.0301434165887862,0.0113631602323611,1.00517637395438,0.00822831467538724,0.0184474873376217,0.00572734576338176,0.00159098455531465,0.00103167336648207,0.0315380046525143,0.0236390435826573,0.00279699345652056,0.036807771492243,0.02836265754589,0.00307784816532739,0.000522979197323649,0.00264102068977604,0.000522738982147636,0.00781183515807739,0.000315424949954802,0.00203769573604208,0.0163799635592008,0.00215109164655324,0.0368008489784299,0.0298052830790227,0.0189042083122999,0.0188159475964487,0.000207806021011946,0.0156863540312893,0.0113995103487962,0.0231839083259695,0.012444251947184,0.00141098845191472,0.000261249400306512,0.000661288343473378,0.000886336162081954,0.00110181487085794,0.00623026999679028,0.00130724512905657,0.000213509057103337,0.0211602545023448,0.0245041050116008,0.0249975799029238,0.0248602933732663,0.0131573152867575,0.00899815245914289,0.0194702664429825,0.011699241262986,0.100476037501817,0.0370420601317666,0.000244548255837777,0.00222600086481878,0.0242940484373962,0.000301932968490469,0.00160107641245938,0.0222134056396455,0.0421121637275993,0.0019679102827636,0.0353249224609954,0.00141667971747336,0.000556203929867871,0.000864169899369163,0.0366483838496996,0.00335164872771719,0.0228945011841169,0.000768873588250402,0.0234216725586658,0.00128096268567084,0.0251293339969126,0.000230222424481623,0.0298340349377885,0.00764702917169924,0.00761101125234861,0.0432386912986705,0.004132589660748,0.000613279882886728,0.0276638976552682,0.0006235812299245,0.0203621529496505,0.0235025084466319,0.0264291115605789,0.00254548333681963,0.0427590171918967,0.0313799569410737,0.0498569638251094,0.0320117992512695,0.00138406287602084,0.000356853275988433,0.00747598862721273,0.0228532910807424,0.0264236897615767,0.0236464816525753,0.000223286278284426,0.020554595065603,0.0220549670057106,0.00755889722086244,0.022252173675885,0.0178035877495964,0.0183705669018203,0.000726497502337838,0.0171536554088441,0.0187436856809691,0.0154770974289814,0.0221958189973018,0.0213220684991807,0.00133446093565172,0.00511932626663666,0.00142049320276878
"H016",0.0318235177881117,0.0068541166714994,0.00856235212788799,0.00325120140766954,0.0113318249430475,0.00561111590796561,0.00822831467538724,0.670633130325135,0.00215823960494273,0.0194079785928362,0.0169221359394129,0.00922282045420277,0.00493159663786252,0.00702568928946502,0.0202284118296327,0.038619214411922,0.00489683662763827,0.0502078072618216,0.0118541010563921,0.0625507184109459,0.014634338972449,0.0532042374958503,0.00725306809977559,0.00872932566958899,0.0265686661675968,0.029429728366698,0.00272398297981161,0.0096378856729705,0.0271627548776053,0.00203199308546576,0.00563408966160201,0.00189678132576256,0.0316241270367822,0.023177145423192,0.0309084430728031,0.0182551325118476,0.00606299151083984,0.0153676123716611,0.0224845919585737,0.0379242089022284,0.0290872494592694,0.0104754119272928,0.00711854240155363,0.0389365921212453,0.00367758514288983,0.00842027876359943,0.00280890111627464,0.0235566921368096,0.0319280974114309,0.00398790992034008,0.00389463524204914,0.00999746237597447,0.00248683777020996,0.00946690472264611,0.0123733273404113,0.00551402835449448,0.0101070428203049,0.0219708732752644,0.0156972919600741,0.00488956682107599,0.0121780053730597,0.0168387893550449,0.0114716669542992,0.016707611738473,0.0169023627159641,0.0177102266630809,0.0149119669431655,0.00286005121099144,0.0212242657180472,0.0199196994554676,0.00985597423343377,0.00722652980257688,0.00665831412709847,0.00371482147616969,0.114886913917286,0.06234394592642,0.0197118582696187,0.0270631265859705,0.0117979838390257,0.00592635759351711,0.0107656289907161,0.00329103699116089,0.0027867760377853,0.00820779324522382,0.0123192417217742,0.0171426773645894,0.0243206986795592,0.00553355440119644,0.0311238705191628,0.0220736798675106,0.0127007483185244,0.0304713764489886,0.00466580363995848,0.00367587621459266,0.0133838285136932,0.00607555471438957,0.00275513816284637,0.0042415840177283,0.0126177517073817,0.00376997740645916,0.00220290901710934,0.00766989005130293,0.0076360335722947,0.00628160259560622,0.00475576384867155,0.00207398585626622,0.00462202313042488,0.00423441251415709,0.0131120550834505,0.018529830023299,0.00830790828699659
"H017",0.0029157115251089,0.0551355204644257,1.24397213035663e-05,0.286252386025965,0.025437094041722,0.003935416219102,0.0184474873376217,0.00215823960494273,5.58583925553919,0.000372567272321747,6.43320925616535e-05,3.28706369479634e-05,0.00401432039073307,0.0186757268818619,0.000190427411637805,0.00340183168980382,0.119994856646281,0.000120142317206698,1.12219274340869e-05,0.00040739357790801,1.43321126794411e-05,0.00110816836915407,5.54063321493737e-06,9.48263805824425e-05,0.00567466786863791,9.98827343456315e-05,0.196802778582685,0.0105390470762923,0.00172070118034817,1.94005815198188,3.24046784436693e-06,2.19878775711396,0.0007948918429206,0.00544855134754533,0.00447968101118442,5.61776516957017e-05,4.99174911794885e-06,1.74990591025792e-05,2.9331676427287e-05,4.90753851113033e-05,0.000314754025433517,5.14198592300669e-05,3.7170135465092e-06,0.00656961279594204,0.321754646291702,0.0205019998809895,0.403179735245343,0.000957453471837468,0.00310647822758341,0.0123889513475287,0.00454862722065693,0.0142305399289598,0.568099795234824,3.52217699819496e-06,7.75798287913507e-05,0.0264560793253858,6.15708681988945e-06,6.13236592274545e-05,0.00168352691659704,0.0368288086400955,0.000100081688916316,0.0531261433064064,7.23795935457983e-05,1.45330591790521e-05,2.50089500030809e-05,0.00841395473418872,0.000130916778854245,0.231799879897407,1.72000784225513e-05,0.00961356789574098,3.51369864657826e-05,0.0515754111979462,3.42306782751641e-06,0.0863512133075895,0.00198716326456645,0.00137079698195678,0.0276805350649114,0.000379516434925025,3.11482675631617e-05,0.0136142639719337,1.97730218435243e-05,0.0300581659207212,0.59896511920853,0.0298570900840859,0.000149918004339554,0.021711078996273,0.00210051611932732,0.0804005324596075,0.00410533898400686,6.30895813146277e-05,7.15008862017838e-06,0.000472865739117908,0.0252245976887704,0.0698475881623175,0.0260001759755566,4.11096292582636e-06,0.550057037342543,0.0312170755510014,0.000455435770789362,0.00403962160404326,0.544686792303239,0.0129100565404751,3.28510098847676e-05,0.0102672329949727,0.0173125186840217,2.46281990972372,0.0193703084260471,0.0195345619664061,6.21914412828029e-05,0.000379518216642092,7.5398087539745e-05
"H019",0.031059051497688,0.0010984916245664,0.0119821489103061,0.000605934467306508,0.00322077899998026,0.00177212993199843,0.00572734576338176,0.0194079785928362,0.000372567272321747,0.782573290120958,0.0201833274775691,0.0166816639401615,0.00160714781099938,0.00115416444827387,0.0305066133053969,0.0245083175835097,0.00100709625584492,0.0399512950824613,0.0121671757807564,0.0210696091258206,0.013156458771252,0.0259931193261662,0.0103648612753171,0.0144417901220599,0.0189470148562034,0.0198560099879112,0.000674756221783096,0.00205504314526265,0.0327577057849853,0.000385124049675497,0.013606273873765,0.000330260973523456,0.0250020240744129,0.00711509670385779,0.0305089795495483,0.0547362603962123,0.0154635877845473,0.0609989231995038,0.0156345961820076,0.054976924043591,0.0380770470192167,0.0360960401126083,0.0091860789722482,0.00584983501767547,0.000542307086922477,0.00129602243709885,0.000540900414421109,0.016114578863958,0.027436250042151,0.00116606722988522,0.00114812087015141,0.007775971742948,0.000516825398770092,0.0122277514095951,0.0732523059219979,0.00125491612443106,0.0180553688617433,0.0449232425831382,0.0216434659992216,0.00148903196808468,0.0195067966631647,0.00254434003773263,0.0109640791290922,0.0117382493413897,0.00971975607208338,0.00416463109657043,0.0796533544287467,0.000683819168082414,0.0231946660283478,0.0069143749533687,0.0555262834438271,0.0014915915910676,0.0135783008736683,0.00121123735636797,0.0167881662114037,0.0172656190666594,0.00306596339590606,0.0187591571017729,0.0122461777687811,0.00190512754092889,0.0221874835248384,0.000912052541549612,0.000441065459030881,0.00229069640638646,0.0116748421015342,0.00340176862700398,0.0384826375051743,0.00145656552014455,0.0180370979136828,0.0193655290109434,0.0105233058842464,0.0253465874616843,0.00097896690657657,0.00101092644023647,0.00253162139437131,0.00956221593172805,0.000514760418634747,0.00140155853344948,0.0296940649253264,0.00149619016854569,0.000403975801962421,0.0020576655714437,0.0161545884367216,0.00141779379363663,0.00113529392722408,0.000340315702316686,0.00138863731666914,0.00102049911632183,0.0139468870293617,0.0364834019000378,0.0162308601531593
"H020",0.0132871606250142,0.000298951161956818,0.0343986991221065,0.000110169821838206,0.000533968840223885,0.000746824437043493,0.00159098455531465,0.0169221359394129,6.43320925616535e-05,0.0201833274775691,1.03289323984803,0.0619986380738256,0.000636203583710387,0.000632436502370962,0.0654974995535671,0.0111766114123315,0.000184658960497941,0.0323892939708676,0.0674266691740123,0.0272174881718412,0.0924913767445623,0.0148130860068103,0.0423283212822837,0.0558591149060547,0.00775067436419694,0.114968290162363,0.000128797971785153,0.000566093194344375,0.0119090297810671,6.57621675023148e-05,0.0352337369333277,5.75447018021663e-05,0.0248934062257675,0.00379708053858613,0.011673915987868,0.0187185832017431,0.0326270229288366,0.0540392365987951,0.0709510214792042,0.0424472731452999,0.019154282056125,0.0717307018013973,0.0236365343878359,0.010574734591467,0.000132807497298731,0.000593930331543643,9.52165437682562e-05,0.0217497935616672,0.01209383092631,0.000226237115572888,0.000367036279588625,0.00201144743484594,9.216563682466e-05,0.0346286546902189,0.0491247035068675,0.000549047265235068,0.0292559270800013,0.0696987545071291,0.0276237827652101,0.000491037815885954,0.0476680167903539,0.000594847128714175,0.0382516837687249,0.140489465434573,0.0878397004189302,0.00118336910424864,0.0226939162186772,0.000134270067263836,0.055930514813963,0.00224720368229486,0.0411655749604825,0.000282624887435023,0.0296928289949226,0.000218174167971461,0.0108338638127796,0.0159291343818651,0.0009178238848325,0.0336179975852183,0.0233128171170734,0.000768472906230292,0.0277999210290773,0.000166050710354927,8.53826369838846e-05,0.000619708894137295,0.0421996952989685,0.0010020655609156,0.0101509090968496,0.000328538900256633,0.00802602440142263,0.0548310531456227,0.0424942230774629,0.0106079625183979,0.000219369023944074,0.000160773728081979,0.000482698397354162,0.0279707967284311,9.25465876691931e-05,0.000276868439778289,0.0143971257018987,0.000492506551307844,7.62616259972615e-05,0.000450307737309443,0.0309076117904664,0.000741582834771526,0.000280378292252593,6.00652260718034e-05,0.000359416627613447,0.000253614374812358,0.0623426806390157,0.0342126411479742,0.0332079909989568
