"","H005","H010","H011","H012","H013","H014","H015","H016","H017","H019","H020","H021","H023","H027","H028","H029","H030","H031","H033","H035","H036","H037","H038","H039","H040","H041","H042","H043","H044","H045","H046","H047","H048","H049","H051","H053","H054","H055","H056","H057","H058","H059","H060","H063","H065","H066","H069","H072","H073","H077","H078","H079","H080","H081","H082","H084","H088","H089","H090","H093","H094","H095","H099","H100","H101","H102","H103","H104","H105","H107","H108","H109","H110","H111","H113","H115","H117","H118","H135","H148","H163","H164","H165","H167","H169","H171","H173","H187","H192","H194","H225","H228","H231","H233","H234","H236","H238","H239","H240","H242","H243","H246","H247","H249","H255","H257","H260","H265","H266","H270","H271"
"H005",0.0914717572675544,0.000104843797511132,3.55787379485988e-05,9.99876356779678e-05,0.00161985110803694,0.000284483132043356,0.000126824405927527,0.0011320777317956,0.00150938906696709,9.93103343377236e-05,0.00200911925810972,0.00132970000690492,0.00010998558719807,0.00356820975825459,0.000108885030843334,8.55011921809259e-05,0.00186731555407034,0.000104394009116186,4.73926187296959e-05,9.35138138479712e-05,5.74023395597664e-05,0.00050159989216655,0.000938896889752732,3.52319991810923e-05,2.88864143250682e-05,0.00365286774653294,5.22983845569178e-05,5.36247272479663e-05,0.0168301400409546,0.00101325406810919,0.00120748507216776,0.00165754010186965,0.000199945302135327,0.00102334133661358,3.62628012202727e-05,8.72278300589584e-05,6.22347582799369e-05,0.00119726667700698,0.00161818059874186,0.00503010086590878,0.000116204838473249,0.0010387192729882,0.000835726419110498,8.47699337697259e-05,9.07155592808107e-05,0.000889862929873857,0.000131047746339158,0.00864479390538975,0.00385212908671818,3.83511516378139e-05,0.00156000734812927,0.000912764490741733,0.000938897528530256,0.000175106930101424,0.00246354719450632,0.00149995551097344,2.57166326594799e-05,7.10502877985522e-05,0.000230763939358272,8.51731055123768e-05,0.00304414079074229,4.6942731671573e-05,0.000103075788496701,0.00105848228770869,5.04051249626539e-05,5.30742979088273e-05,0.00535353716706571,0.0020905942632907,0.0015938323194768,0.000920137409420161,0.0026976522391564,0.000918103968871486,0.0021718177675667,0.00154540350355044,0.00255294972172729,0.00134256678248104,5.78874334497272e-05,0.00204629305438337,3.92313904743621e-05,4.24427611179693e-05,0.00158126901305537,9.17091114576954e-05,2.2973580368553e-05,0.000151390583150986,3.85072887483309e-05,0.00154113934343304,7.47013147962525e-05,0.00151544524916056,3.11578355133428e-05,0.00232177721059372,2.64895263088564e-05,0.0118292017546367,0.00151698109989751,0.001362538688757,0.00053082165458409,0.00169797785831538,0.000995815437368011,7.14951878114264e-05,0.0014000428250892,0.000464348676858934,0.000757545368087967,0.00140359275453388,3.34231696661267e-05,0.00276495167079751,0.00140291913144942,7.07863425196384e-05,0.00147918478849045,0.00147851647786468,0.00205069280713257,0.00015922725612524,0.0149095693884256
"H010",0.000104843797511132,0.0935452078351375,0.0014521477009319,0.00953665343638915,5.33106903666784e-05,0.00211244869905018,0.00378646755405097,2.30028681723172e-05,7.0492556130771e-05,0.00130737354899987,3.89808747174077e-05,3.47955453476248e-05,0.00232057767203672,0.000227872511990609,0.00301162030610319,0.00595797473742488,0.000508763457972764,0.0072744058845913,0.00485865297542982,0.00605331763122311,0.00227857426574566,0.00181041490098423,2.07674201354536e-05,0.00348390228557649,0.00318965679030993,0.00016177623187056,0.00529658862072239,0.0076197535028038,8.27780023735254e-05,4.48983695722994e-05,3.75072731930951e-05,0.000147536401297501,0.00204000540350603,2.15919060532454e-05,0.00165271349786913,0.00177962229014724,0.0076159025220099,7.40162410573521e-05,4.54861874217564e-05,3.92780010015575e-05,0.0023072935592515,2.74720367763481e-05,0.000203603028415461,0.00392885730678538,0.00238086179280816,4.07131213043676e-05,0.00164047412904389,6.84722861765873e-05,3.61971707527035e-05,0.00505096862572731,4.37458879405725e-05,9.12507795397629e-05,0.000103704347179776,0.00428215397362319,5.11589701585501e-05,0.000160473385512619,0.00157842157326336,0.00364692176033536,0.0022127036934462,0.00537661559039434,0.000129437494278573,0.00876931119337615,0.00200165355347109,2.49988640182282e-05,0.00303276485433383,0.00293746315083367,5.93915689502144e-05,6.95160360908661e-05,0.000105728704444923,7.6471561294808e-05,0.000112191273242494,5.30863982563302e-05,9.79151277999151e-05,8.40622661377975e-05,8.04726903033273e-05,8.93204678672405e-05,0.00174768221669049,0.000147366036592332,0.00207575828671629,0.00628050633963922,5.82962019214399e-05,0.00373118235382982,0.00172667741715009,0.00556646322281032,0.00466719473587985,0.000112606380121818,0.00352946115235915,3.66386670476998e-05,0.00225985214815814,5.18904520703902e-05,0.00270580553696418,5.12496898333202e-05,0.000461871664981891,0.00020994267327464,0.000126512947800146,8.30466625453669e-05,0.000113516900805716,0.00595570057385929,4.26501314470674e-05,0.00136854653719161,3.17379197420291e-05,3.79391322296795e-05,0.00340210038327103,5.42623768112239e-05,0.000122258862822139,0.00265127324668725,5.10289539558596e-05,0.000154261132625647,3.14868046311681e-05,0.00166470926406339,7.05004279421994e-05
"H011",3.55787379485988e-05,0.0014521477009319,0.154988102215324,0.00119464385429022,1.46654906023626e-05,0.00105048069179812,0.000408135312030546,7.78328421271615e-06,3.00579792309242e-05,0.00468942076157508,1.01252646979e-05,8.44523099805664e-06,0.00032079347054755,6.16892260114013e-05,0.000402877195107015,0.00176380218219872,7.73889871425507e-05,0.00166920819339949,0.00126360486269338,0.00150853928799978,0.000985696272018914,0.00560374952879179,5.88003066198349e-06,0.00215890190998126,0.006290414061541,6.19484142509266e-05,0.00170082551864799,0.00144526091854614,3.06602209268597e-05,2.77711721495547e-05,1.00399165583564e-05,5.02878438443379e-05,0.00111140853965665,6.9974566344918e-06,0.0601545853059956,0.00172032086595899,0.000953616447793421,1.57158444722652e-05,9.96619387984524e-06,1.03350345395953e-05,0.00287768698190895,1.04939616230272e-05,3.34268913209658e-05,0.000422908137282434,0.000679599954819353,1.37927061158345e-05,0.000195549286685976,2.4894123942339e-05,1.13267496483222e-05,0.0012162812224233,1.03431598503202e-05,2.50768977135619e-05,2.10982228981632e-05,0.000580914760004119,1.12999028002923e-05,2.80226510563882e-05,0.0367859805274602,0.00111579693742067,0.00031899171756739,0.000777557943334921,3.37495138357181e-05,0.00389292433343736,0.00294688860357084,9.28851852860547e-06,0.00535518329958921,0.00427181890091074,3.25394181783309e-05,4.2584663420071e-05,5.31053600215715e-05,3.32817610274523e-05,2.03912262867824e-05,2.07215821663785e-05,3.30972664893384e-05,2.72373479060179e-05,4.90020640322097e-05,3.33483598656056e-05,0.00180226195632672,2.75920010122476e-05,0.00454512918293386,0.000907697835935099,2.15337014014205e-05,0.000464316702333946,0.0264269551312699,0.00181131543368412,0.00375818376400429,2.96671645042526e-05,0.00199666137397811,1.28104922123242e-05,0.0362551944321666,1.67561577790305e-05,0.0105588232362068,2.38256267853012e-05,0.000140208140114553,7.00714311758677e-05,3.47769077711159e-05,2.561306335732e-05,3.23124273573541e-05,0.000554049487783133,2.26475755700394e-05,0.000975385163590905,1.011423287196e-05,1.20471611122149e-05,0.00569049778921514,1.70181550034169e-05,8.69146427852121e-05,0.00520378634654168,1.42820557417125e-05,3.30889183344055e-05,8.94709402615582e-06,0.000878472509372205,2.5522260514927e-05
"H012",9.99876356779678e-05,0.00953665343638915,0.00119464385429022,0.0762583349502725,9.11748072578437e-05,0.00276672827714542,0.00300518163253098,2.5480422958064e-05,0.000147361971537568,0.00089024313370927,3.17720942361237e-05,3.70216705684307e-05,0.00465557037977303,0.000296740021158319,0.0014048056273413,0.0101044282748545,0.000441789686932202,0.00674793587696182,0.00103838593539111,0.00173608783474218,0.000596209392445103,0.00103016188822049,2.17529872870997e-05,0.000721971256109418,0.000824753255629523,0.000207015933825374,0.00429952337197418,0.003811695339201,8.9455503141759e-05,7.21223709636521e-05,4.53150591325901e-05,0.000184833886188268,0.000641638854848031,2.12799433550133e-05,0.00138642595696236,0.000670859052786558,0.00248052085678232,8.21074027739583e-05,5.0801170987755e-05,3.56929606745819e-05,0.00170739019515368,3.44757518604636e-05,0.000164657721667257,0.00202742053113652,0.00121294781230452,5.09322935754804e-05,0.00212191770103974,6.02558100238406e-05,3.53957995888642e-05,0.00352076114746954,4.48655565962792e-05,0.000130591680789961,0.000109694596661511,0.00118806622369119,5.58049443314412e-05,0.000142107817065529,0.000848706121443779,0.000967752239013505,0.00199803482428542,0.00395812249668228,0.000132399812536165,0.00233859174225676,0.00100073962639955,2.53396514441418e-05,0.00270919207405922,0.00300453354159817,5.77442704604853e-05,7.14050063047322e-05,9.8750471311649e-05,9.03027161874308e-05,0.000116554672940805,6.06693387566894e-05,8.97860477311438e-05,7.99955471257528e-05,7.84662337158519e-05,5.94436008663918e-05,0.00122017914973024,0.000124071476964799,0.000623996140616133,0.00352709943704058,4.71810109579838e-05,0.00140131928883736,0.000825589419092712,0.00195066368588373,0.00142673683646804,0.000140098348506251,0.00182125808733483,5.38023158679818e-05,0.00132602838356156,4.16749840506634e-05,0.0010112499925041,4.95801146498978e-05,0.000283154603282555,0.000143085166703114,0.000123726902998014,5.61197115504387e-05,0.000131819747595395,0.00235535000265705,4.69687580893077e-05,0.00068076695441971,3.14852014006003e-05,4.64743150943079e-05,0.00154163739778865,6.08677287328099e-05,0.000158494680559094,0.00281845431820417,8.51415255153397e-05,0.000146065423044298,2.99883510079624e-05,0.000527620257540797,5.31521772946968e-05
"H013",0.00161985110803694,5.33106903666784e-05,1.46654906023626e-05,9.11748072578437e-05,0.137059463967595,7.74100228966864e-05,6.60977813385623e-05,0.00140490114676168,0.0361599696578905,2.52695344651505e-05,0.000740090893733333,0.00533072663770719,5.93722880463195e-05,0.00235364999066632,3.59669148101825e-05,4.83466193052384e-05,0.00120602333833053,6.03842824823977e-05,1.90409153613215e-05,3.17148910707983e-05,2.53237678895736e-05,0.000349384584561971,0.00127501382844748,1.31536105490698e-05,8.5493793785495e-06,0.00375663027220914,2.72139503796298e-05,2.74399842411434e-05,0.00325835586643251,0.0066483536067611,0.0125921758991945,0.00326877712822254,3.51118000431496e-05,0.00100011014519605,1.3675942376292e-05,2.27828755793437e-05,3.08508245056181e-05,0.00643965481376276,0.00852648814650654,0.00130624958958322,3.17037955452626e-05,0.00366551856442939,0.00155028380754069,2.74888039458954e-05,4.02286888883456e-05,0.00455734028209547,6.16138709520225e-05,0.00140218740979865,0.00116819543166525,2.29624058943574e-05,0.00542048443667683,0.00304888229992808,0.00205553013153425,5.24268726574471e-05,0.00826381170322127,0.00298463635367093,8.21288617804752e-06,2.5616140128707e-05,6.44828362688614e-05,3.55250485987827e-05,0.00404351063647901,2.05161415481451e-05,3.89144448092035e-05,0.000917891479526942,2.92152340193677e-05,3.86402986006401e-05,0.00102893216815042,0.00131895564376128,0.00107742381596285,0.00326489974931844,0.00490621103597713,0.00239968673827515,0.000788633650659408,0.00129760345916796,0.000802342475291958,0.000493012425922097,3.68258461821511e-05,0.00176868650091656,1.40696370682392e-05,2.71083773156265e-05,0.00107435924608874,4.52907941252283e-05,8.98339750898589e-06,4.36842071067182e-05,1.3838842872198e-05,0.0014770086694569,2.50924939736555e-05,0.00922598771428378,1.11142592038224e-05,0.000546827900969436,1.02936561133517e-05,0.0010375659201861,0.000622845188921367,0.000830087079090532,0.0010709267187085,0.000657340011869254,0.00119573364444592,4.96654228483608e-05,0.00162662011869761,0.000169120962409722,0.0015892361338365,0.00546388068473053,1.38745127680986e-05,0.00294029052745126,0.00174965655379769,3.55620268435637e-05,0.0755064169972994,0.00178376246158957,0.00135874084849864,2.87990350930502e-05,0.000628736568921818
"H014",0.000284483132043356,0.00211244869905018,0.00105048069179812,0.00276672827714542,7.74100228966864e-05,0.0765481852532595,0.00393986858446944,2.90832196755627e-05,0.000124121134171193,0.00460810643701642,4.91324841654354e-05,3.80921663260034e-05,0.00457139387469798,0.000296035573006262,0.00360467990058609,0.00399359529566889,0.000355294601293371,0.0028625631962781,0.00129164422413839,0.00278366995402867,0.000908089089438244,0.00125030491403965,2.46526949140494e-05,0.00078143411490966,0.0011843444574699,0.000215460796736791,0.00141090975313359,0.00134062197792686,0.000189402661128333,7.89081993326679e-05,4.83160804664986e-05,0.000173448795118846,0.00476896710029113,2.70548095256891e-05,0.00162652609551206,0.00271047802211588,0.00150890224904484,6.14208684544018e-05,4.66901512920789e-05,5.94828239674903e-05,0.00756736729644227,3.56158856121299e-05,9.47327245567187e-05,0.00318046739843831,0.00371798428311012,5.67281963958176e-05,0.00320159995755707,0.000129704175060953,5.57033593930227e-05,0.00110613836470883,4.37213779255483e-05,8.41317224908535e-05,7.76592422888956e-05,0.00289809674647634,5.22474171051775e-05,8.16428644759684e-05,0.00125399877209576,0.00193865913905728,0.0063724118496445,0.00924701620713388,0.000145495611115499,0.00156852421637175,0.00234106911197063,3.1497291425431e-05,0.00283925685489032,0.00220977492222079,0.000124166841015162,9.84398909641142e-05,0.000141987338272613,0.000104456341931079,0.000114843561516368,7.77460743132347e-05,9.5542736216076e-05,0.00013737114925627,0.000133874188889722,0.000105798535927721,0.00158014802583266,0.000142020638835362,0.000774094609617878,0.000982880522163041,6.200977864288e-05,0.00127769656034239,0.000643756775256617,0.00279084076477316,0.00152852907121364,0.000132292530997176,0.0047321636426163,6.58535116911793e-05,0.00146050869561097,6.91096178340562e-05,0.000785372759133731,0.000118561002399195,0.000268862600658721,0.000186015074101055,9.66347896878119e-05,9.15369997984549e-05,0.000113259101021862,0.00107010693040709,5.69137435642634e-05,0.00199182148065991,3.08732549508185e-05,5.93367633857174e-05,0.00122446361749898,0.000102320026018327,0.000229424585253658,0.00441321926220446,7.89295618569655e-05,8.81052184324324e-05,4.07515754638942e-05,0.00416894351566286,0.00016199606064217
"H015",0.000126824405927527,0.00378646755405097,0.000408135312030546,0.00300518163253098,6.60977813385623e-05,0.00393986858446944,0.102444370816121,1.9912321228268e-05,9.81892871757704e-05,0.00051606798168372,4.26911885260391e-05,3.42445161745869e-05,0.0224248560612726,0.000127104894034542,0.00592013734593281,0.00385034986765302,0.000338989980055273,0.00515214659901196,0.0018428303543755,0.011200850852245,0.00118879506232277,0.000841638359598064,1.63508962671528e-05,0.00102537845982062,0.00113353664291986,0.000131333184303967,0.000579592235018695,0.000878701893905615,8.31705419892221e-05,4.43027044240615e-05,4.3122072069529e-05,0.000147104706800003,0.00134035409189517,1.83911947389156e-05,0.000688789284068387,0.000799081416587575,0.00689696077281985,8.27844142971543e-05,5.22405476624512e-05,4.26903675727302e-05,0.00115815381109068,2.07685948166083e-05,0.000115410003419875,0.0165727825304302,0.00361350414605317,3.57178155517481e-05,0.00594947358733279,6.10375441086629e-05,3.96604538908607e-05,0.000687437164237315,3.91179625643354e-05,5.49766197410883e-05,5.49362742988459e-05,0.00625027496458352,5.40375530544852e-05,7.76187666928066e-05,0.000482619233017732,0.00261246520511617,0.0056378590389906,0.0283753679097132,0.000128680614769288,0.00205384396056002,0.000692252522752641,2.1421385097607e-05,0.00201540793449614,0.00229389314872354,4.53266087073991e-05,5.08947761481684e-05,7.83767068733102e-05,7.06362189852545e-05,0.000187088543310685,6.35536083829913e-05,5.58670247115559e-05,0.000102775600668718,7.35397638149841e-05,8.77060625629106e-05,0.001854392408316,0.000194720994955579,0.000873713611111838,0.000909583395541426,4.75371841496292e-05,0.00114039703079518,0.000463104705729268,0.000778888807279226,0.00267675849418574,8.93164553233787e-05,0.00106124696343568,3.66681025449768e-05,0.000723044142597811,4.97718992125444e-05,0.000725709368654926,4.57705747892772e-05,0.000234089209177823,0.00016396543581403,6.99727741603351e-05,8.43353111731747e-05,5.85324656915444e-05,0.000974486798103632,3.00314773312266e-05,0.000777169850482753,2.32682106468542e-05,3.81188184764167e-05,0.00166324283144751,7.49891346013464e-05,0.000117198721883911,0.000960568785484849,7.33568317769919e-05,7.1358861577201e-05,3.5650500724892e-05,0.00136683623874355,8.12037651994047e-05
"H016",0.0011320777317956,2.30028681723172e-05,7.78328421271615e-06,2.5480422958064e-05,0.00140490114676168,2.90832196755627e-05,1.9912321228268e-05,0.202658935165502,0.00114771999509118,1.40305112438008e-05,0.00585883235343349,0.0109457160911936,1.54343849293371e-05,0.000570103529016518,1.51907713057072e-05,1.41209041996357e-05,0.000378054082496987,1.74635054831518e-05,8.76091284940888e-06,1.75936683018106e-05,1.61711246637584e-05,0.000363380845560195,0.0526187698593664,7.34323043831955e-06,4.36122469505721e-06,0.00100300753480062,1.30421077004122e-05,1.32116702418086e-05,0.00156674379253835,0.00323817700547424,0.00582592744603973,0.000603887655026597,2.68490928937752e-05,0.0332285818853684,6.475488546115e-06,1.3439546178342e-05,1.15966339262946e-05,0.00116062575391778,0.0024867479115941,0.00717972956338334,1.41311317808957e-05,0.0183225441975899,0.000602928622771897,1.02471932151705e-05,1.78263687290243e-05,0.00246292762085528,1.77409716990645e-05,0.0017944437339355,0.0081648887766109,9.86507213862035e-06,0.0119624006630863,0.00112151961320422,0.000927137691599555,2.4783769474904e-05,0.00414098322342582,0.00182146650415332,4.15534453681531e-06,1.41694015875879e-05,2.31015203530963e-05,1.120337340301e-05,0.00101718329781406,7.64114646946114e-06,2.46112441042745e-05,0.0726870460991797,9.63264013124271e-06,1.23332321661852e-05,0.00202386180829695,0.00303370986265697,0.00105021893084362,0.00105251573452405,0.000866940893103582,0.00330032509457722,0.00207687638615299,0.000736761202059956,0.00384015351419052,0.000867276100493678,1.77954797132999e-05,0.000513956972460853,9.46960524213085e-06,1.20902557095522e-05,0.00594213217529685,2.58474648711837e-05,4.50402296219566e-06,3.15833037878322e-05,5.62152103459742e-06,0.000757290827443514,1.02103155494554e-05,0.00229570288797865,4.57784586024067e-06,0.00490902583003974,4.50933281879139e-06,0.00215687904351221,0.00131036250051768,0.00102205218570431,0.000523734241173546,0.00143273394937621,0.000745654639091962,2.20841318579029e-05,0.015506296693001,0.000132475491978937,0.025358492655214,0.00361965839262084,5.61912477256097e-06,0.00288063623744485,0.00100240655055322,1.42924217452021e-05,0.00144427139288035,0.00213754745704982,0.0180039469966116,2.22323797069498e-05,0.00124183242073396
"H017",0.00150938906696709,7.0492556130771e-05,3.00579792309242e-05,0.000147361971537568,0.0361599696578905,0.000124121134171193,9.81892871757704e-05,0.00114771999509118,0.103540371832529,4.15332203105219e-05,0.000567014460705245,0.00196657106947237,0.000101811241414439,0.00223199358270052,5.13815434363398e-05,8.47790920175956e-05,0.00117741027643484,9.78365977084909e-05,2.77814276825477e-05,4.82649728818256e-05,3.48363827783734e-05,0.000454740511963892,0.000860106282406139,2.01883791122477e-05,1.56555238149522e-05,0.00400222514395122,4.41737053053882e-05,4.33653570058268e-05,0.00246070313499047,0.00979870431543996,0.00447134146704561,0.00368404771394058,4.69508499158e-05,0.00069034437754491,2.91703886758725e-05,3.24058304365216e-05,4.39659703286544e-05,0.00299012633842005,0.00333079263279443,0.000974741135547861,5.10000060093298e-05,0.00280720730181783,0.00102623193011771,4.3964163341208e-05,5.84132740144976e-05,0.00274517309527052,9.13191537602583e-05,0.000918068738907399,0.00110075674382666,3.67372700760794e-05,0.00227951226083502,0.00300217588640291,0.0013588084955297,6.87760597823956e-05,0.00338381252307802,0.00164459833293309,1.67286081388195e-05,3.81148829867689e-05,8.95778442675171e-05,5.82423614648776e-05,0.0024642435900476,3.35881451600941e-05,6.04404567389648e-05,0.00078374170376786,5.26005372240547e-05,6.68440395475153e-05,0.000932978869885048,0.00142653465244311,0.00116715863844307,0.00287560544069419,0.00291208511951705,0.00196131244770503,0.000923021372468995,0.00123116835556026,0.00116262468227585,0.000426082363653341,5.46750218357645e-05,0.00131186228185253,2.29721811266187e-05,3.97522843913151e-05,0.00074865201776338,5.9922356543522e-05,1.7644918215114e-05,6.25887159973564e-05,2.49541867235141e-05,0.00182860089196746,3.78853515038089e-05,0.00757442378357196,2.33961695438327e-05,0.000533121983232342,1.91395820630427e-05,0.000938381961577206,0.000629084612820966,0.000745801810286759,0.000907875034496592,0.00054261432068138,0.00127537482877683,6.09410068641921e-05,0.00172217822283729,0.000209901646200627,0.000919989334778843,0.00323767678396495,2.57802032576035e-05,0.00253291634617323,0.00229711232919183,6.17475719167852e-05,0.0296870404853898,0.00136511637356235,0.00097561568062166,3.85106207647436e-05,0.000515072467534073
"H019",9.93103343377236e-05,0.00130737354899987,0.00468942076157508,0.00089024313370927,2.52695344651505e-05,0.00460810643701642,0.00051606798168372,1.40305112438008e-05,4.15332203105219e-05,0.111224345006643,1.89126572208004e-05,1.66719283236838e-05,0.000382417691771281,0.000143953343522449,0.000618427382977717,0.00145968241268365,0.000110306481305928,0.00148312914637298,0.00164203840692886,0.00109472702296,0.000997033914151148,0.00261773490417723,1.18632511589927e-05,0.00161686380619577,0.00288645196272256,9.5016989386376e-05,0.00130342958924662,0.000939976853597051,9.55489589215355e-05,4.00000130094754e-05,1.8791425632231e-05,7.05668855272502e-05,0.00783612348568806,1.41335216103887e-05,0.00387114398918234,0.0209611970537599,0.00100034327529805,2.53732512442195e-05,1.7499060778073e-05,2.08728150396178e-05,0.0318426232368797,1.8856138019488e-05,4.69339728569346e-05,0.000509627056923264,0.00114079503320376,2.67088649536494e-05,0.000299399925152497,8.49392505845764e-05,2.02418665423428e-05,0.000932812210421016,1.88307822299954e-05,3.62151934882965e-05,3.64707075441473e-05,0.000879013024831465,2.0390072663544e-05,4.273787392028e-05,0.00487369917326798,0.00117216322665486,0.00103377894266137,0.00105102694932001,6.06043336691483e-05,0.00267191381137898,0.00380070560180839,1.67938021721515e-05,0.00316695969388925,0.00218022175278534,0.00010232318855422,6.20644253123114e-05,7.69557632621354e-05,5.395408115591e-05,3.37559642205572e-05,3.52418932669035e-05,4.61933096476362e-05,4.71197903450267e-05,6.8125007609633e-05,5.25670985122061e-05,0.00140177139705393,4.49893813329545e-05,0.00234799280212106,0.000794479782701319,3.66985213476702e-05,0.000557534436535549,0.00248473080129826,0.00234406692618157,0.00191274585342823,4.11098443762226e-05,0.0199091026295065,2.36199978447845e-05,0.00386189697507876,2.9485240407379e-05,0.00282924506681293,7.48403812997816e-05,0.000158394031510566,9.27064961556932e-05,5.26351625827169e-05,4.29624307537742e-05,5.22980719046635e-05,0.000835997244779607,3.62771983333288e-05,0.00131970368243644,1.85114592124804e-05,2.30361455371416e-05,0.00211858342460392,3.18658340506143e-05,0.000115981850259312,0.00671162973467559,2.41727692705782e-05,4.64332885126856e-05,1.62453902739407e-05,0.0063563469679031,7.44974523409152e-05
