"k","subsetmean","subsetsd","subsetbrd","subsetrecover"
2,0.925723326062259,0.0761355241402385,0,95
2,0.93059806503681,0.091235934680968,2,94
3,0.832841092550651,0.196328699153334,9,71
3,0.862593558837642,0.132931277946258,1,76
3,0.78936749474017,0.251940902321958,18,75
4,0.841558473608969,0.0828772219936537,0,85
4,0.90051058060948,0.0860365998818087,0,94
4,0.905554553375761,0.1106633652434,1,89
4,0.796933684733888,0.142281848008361,4,66
5,0.873414509144156,0.0701157553458198,0,95
5,0.821550346329237,0.0989186352367815,0,74
5,0.894530207537561,0.0920988432145183,0,88
5,0.729209476613514,0.123264880537287,9,50
5,0.700231373526925,0.152333630550767,12,39
6,0.856891400987948,0.0992779856219028,2,90
6,0.834058512565865,0.0894382069809158,0,76
6,0.704287142997767,0.1665265847904,11,42
6,0.507692347780247,0.187755350337945,49,7
6,0.790286272035498,0.119784007000496,2,66
6,0.731023186644697,0.160746250227657,11,44
7,0.792898155691096,0.129474388884958,3,68
7,0.663365863540372,0.16712499627604,21,31
7,0.756422965106789,0.122873354744938,5,55
7,0.858284493284493,0.118743032703657,3,81
7,0.56356157166109,0.194253267952824,45,19
7,0.557699984721983,0.154942559299706,37,8
7,0.670722375960514,0.245273380852393,26,46
8,0.718051242831816,0.207050413293362,15,52
8,0.863447274947275,0.160201401617559,7,85
8,0.784157731157731,0.133049666170334,3,58
8,0.423050267324396,0.147783994872112,70,1
8,0.597147359864078,0.190747225287488,36,30
8,0.647077794539482,0.193952518650673,28,33
8,0.642889870750165,0.215741077742674,32,34
8,0.689200454596554,0.149064826368849,12,33
