"","H005","H010","H011","H012","H013","H014","H015","H016","H017","H019","H020","H021","H023","H027","H028","H029","H030","H031","H033","H035","H036","H037","H038","H039","H040","H041","H042","H043","H044","H045","H046","H047","H048","H049","H051","H053","H054","H055","H056","H057","H058","H059","H060","H063","H065","H066","H069","H072","H073","H077","H078","H079","H080","H081","H082","H084","H088","H089","H090","H093","H094","H095","H099","H100","H101","H102","H103","H104","H105","H107","H108","H109","H110","H111","H113","H115","H117","H118","H135","H148","H163","H164","H165","H167","H169","H171","H173","H187","H192","H194","H225","H228","H231","H233","H234","H236","H238","H239","H240","H242","H243","H246","H247","H249","H255","H257","H260","H265","H266","H270","H271"
"H005",0.040902316382197,0.0021631687124416,0.0027472642707458,0.00225035158346417,0.00273134991751676,0.00252630094902688,0.00240880723314645,0.00340448335210406,0.00243245658779885,0.00335213290679276,0.00292617072496493,0.00278144822171672,0.00217126171120322,0.00226985183483298,0.00300393153176046,0.00321549131890595,0.00257905075800734,0.00328208544739877,0.00272746637094599,0.00293382106952716,0.00240328320661012,0.00335196900306427,0.00262811415949834,0.00270777379636897,0.00299366846249358,0.00309170590246971,0.00204335833918251,0.00212979543621716,0.00387259600539096,0.00252368249967493,0.00270385552875936,0.00236305687082799,0.00334129244415287,0.00320221931871679,0.00279756829238927,0.00296681501286719,0.00262183328916513,0.00302283659908359,0.00262732847286695,0.0029836667964323,0.00337093053666978,0.00287711201934805,0.00270413195409262,0.0032830794677676,0.00231109002104243,0.00271652410976525,0.0023024529585098,0.00331755856172985,0.00340825284808171,0.0020201887153736,0.00243285022190444,0.00259492045261828,0.00241529569206514,0.00275033250945872,0.00333875217327557,0.00212627523714336,0.00262069833748645,0.00262023184788509,0.00330925491668717,0.00203181980266875,0.00301050148254737,0.00273338070408731,0.00259943317341489,0.00268504897283612,0.00255275561211709,0.00275337420233128,0.0035348542494951,0.00229568467274446,0.00351083534793797,0.00249139711933262,0.00302022730003946,0.00239050941000818,0.00264205546052497,0.0022488751914213,0.00313715063061096,0.00325733006862759,0.00313147591357797,0.00366267107758259,0.00203202895711764,0.0021990819123818,0.00247488932194206,0.00192165972599736,0.00210384837215352,0.00228128070549262,0.00274061430182006,0.00272341234054497,0.00334276016071969,0.00278766498387509,0.0030609505178067,0.00256011486007061,0.00265701698399683,0.0033485448311473,0.00198057357602276,0.00252571201427868,0.00289372385963996,0.00263057060205656,0.00260415985357812,0.00236261221617874,0.00362567742718194,0.00227317222861793,0.00216392484938684,0.0024681293410838,0.00243288725137575,0.00218078629434861,0.00249348292205586,0.00203616510587122,0.00238827644633948,0.00258020306175299,0.00242728069959059,0.00347724523871469,0.00252206639332962
"H010",0.0021631687124416,0.0499686200856237,0.0015482173720672,0.00341787420179181,0.00253524261586827,0.00338446251010944,0.00418475297872039,0.00194558659005538,0.00300621427592482,0.00185023983458348,0.00183997146433226,0.00157654444790108,0.00453009214068115,0.00340838440699307,0.00208676027605971,0.00210219884757129,0.00266842405716493,0.00305643068288755,0.00162453891671092,0.00213037750726463,0.00149210032335648,0.00205265784998573,0.00139318869733366,0.00183007379769424,0.00278831518657805,0.00162365347905818,0.00385122018111029,0.00529696066275009,0.00218854152021179,0.00299991781099357,0.00130413750579134,0.00324265694106602,0.00251623898166929,0.00246614158366218,0.0025177160190547,0.0020672254800023,0.00156619028601186,0.00158217592916231,0.00160118932250974,0.00180115387037241,0.00237415093103991,0.00161608783737451,0.00142230156895844,0.0028955866352138,0.00403188509525297,0.00439618591309352,0.00444917316016013,0.00206817951911509,0.00243362343171705,0.00408315826508593,0.00320162144068712,0.00313766599221964,0.00362230614816696,0.00167620581947273,0.00230680623486541,0.00373890326864776,0.00170621594776506,0.00159798976131205,0.00250652130863062,0.00369085723311911,0.00157196074054327,0.00475173024298557,0.00140849355520613,0.00149109458988785,0.00194931115785198,0.00380191132803981,0.0018389488310032,0.00314193252470042,0.00187846727010363,0.00299910980631044,0.00191538666534815,0.00304491034312744,0.00127727806192573,0.00313859734826318,0.00239897733442332,0.00237894392260092,0.00459436993608637,0.00199037441332427,0.00128179081735475,0.0030572625858846,0.00137990548005277,0.00412010340030586,0.00449568886285885,0.00352209703241669,0.00186778505285702,0.00270509887079441,0.00239579342075012,0.0024179965395828,0.00203682305202865,0.00192601406603855,0.00157606497938125,0.00237958369273003,0.00340952357543502,0.00324054333705145,0.00311607040551132,0.00122888495810875,0.00278665916324628,0.00310786030890353,0.00171426274541991,0.00274138649361699,0.00325216834199478,0.0026421768591872,0.00146218132221546,0.00295141530401992,0.00266363195823972,0.00365733614492752,0.00332077845090279,0.00299157104771595,0.00121587912332134,0.00197150715473846,0.00148206555048796
"H011",0.0027472642707458,0.0015482173720672,0.0449111255741127,0.00160939421131409,0.00164338237919365,0.00186720288734785,0.00162344361720617,0.00295735394272135,0.00139326320248888,0.00294022062617948,0.00320261761891772,0.00260472390610806,0.0016415613388151,0.0012852378154388,0.00378862758950244,0.00276583667762287,0.00142035331622239,0.00345856825065994,0.00424612987827407,0.00333063170873069,0.00357189694760629,0.00250520206480644,0.00314831367275057,0.004057685153489,0.00306958223694819,0.00327321593886215,0.00126344977304381,0.00152462427825734,0.00247115380357789,0.00154416505343407,0.00328449876722875,0.00142864934482608,0.00304339098521889,0.00240163371555597,0.00234715545598244,0.00336544170033489,0.00406269423864173,0.00319123180221756,0.00364430794239625,0.00334782546620985,0.00298468267043969,0.00339914922383202,0.00317805822812263,0.00337166502050611,0.00172792189365625,0.00144915122428283,0.00165323030888288,0.00265567373011324,0.00266185980418483,0.00140861228361866,0.00140031452825755,0.00150503524304705,0.00130266979539765,0.00473126452868319,0.00298900595843753,0.00121506190978771,0.00390032473746224,0.00368303975528714,0.00307732459274619,0.00143933810183179,0.00319633735208054,0.00192171231823529,0.00444739685778167,0.00317264435809695,0.00332537360103809,0.00224676367157133,0.00309565962898366,0.00122935871598589,0.003196485584346,0.00141612947539929,0.00302522094405062,0.00133434200613009,0.00327988618829568,0.00135711805001246,0.00270282177096186,0.00271482265936921,0.00215765978880775,0.00334581296934966,0.00351543458622769,0.00177531681597232,0.00279114646311843,0.00137779330301537,0.00138683987305761,0.00158413816944529,0.00390658333303254,0.00154074647200958,0.00293104212133682,0.00176371334163223,0.00264652493079419,0.00302888466484074,0.00388799239674999,0.00233538379287534,0.00121359788732138,0.00139244845883073,0.00141534279639959,0.00379002117102197,0.00142785081948663,0.00155419999916852,0.00306709909694223,0.00153274551883036,0.00122263938246702,0.00145687783900463,0.00380509674201973,0.00123305358105734,0.00160073586711389,0.001384155471212,0.00146771994117064,0.00143168230066303,0.00306654406526337,0.00312390850946444,0.0031597950603697
"H012",0.00225035158346417,0.00341787420179181,0.00160939421131409,0.0463443692188939,0.00293170179909611,0.00370719251799282,0.00340906684689829,0.00187624150205209,0.00282556804574924,0.00214097060629188,0.00147980931441008,0.00140112829009326,0.00380224321955051,0.00309081387682523,0.00191690461762495,0.00248074068758084,0.00285760257635118,0.00251808894702531,0.001406450284401,0.00188743517267677,0.00144534781217173,0.00220238521710124,0.00122836138284292,0.00163762001238153,0.00271979411019557,0.00138594272818128,0.00357063139432951,0.00370388863935788,0.00220448344654619,0.00325164518355223,0.0013104946618503,0.00333664357699782,0.00221151708819332,0.00198875848564922,0.00329854187644637,0.00181587825676881,0.00145974516807352,0.00145213729053373,0.00148399039208443,0.00164485274959755,0.00223478614066264,0.0015148065317591,0.0013546577489565,0.00243937404396549,0.0039014606712155,0.0031005855754004,0.00414733264729563,0.00170374728053357,0.00211554100245122,0.00342378137968929,0.00304193754174296,0.00279636135858709,0.00309063562824444,0.00166637167435674,0.00198512285657858,0.00279727650331511,0.0017243628508046,0.00160094361463107,0.00240719582006329,0.00374405989884334,0.00149618510470804,0.0038882871445581,0.00131415015502175,0.00141940371113056,0.00153405474017321,0.00363124810847987,0.00162165834817168,0.00299480860698959,0.00173355173499259,0.0027815000041119,0.00175623041716973,0.00302703629918241,0.0012409224956485,0.00309472433443513,0.00217413067514058,0.00192017374541657,0.00457585894032801,0.00208653755016381,0.00131500248431774,0.00305319427337524,0.00136376993069212,0.00377083731466028,0.00343803682034427,0.00361993234838233,0.00175380482687613,0.00314713532508496,0.00237671678179429,0.00270474438306555,0.00245591969620186,0.00164412409006973,0.00154497768250048,0.00202439447937448,0.002809088116798,0.00310220132646039,0.00356267796456866,0.00117422939867932,0.00300239997679566,0.00343481956493315,0.00192915005040584,0.00315198691573753,0.00297911197715199,0.00302635464905208,0.00135748092494846,0.00274533178066181,0.00309439282006876,0.00356212283675383,0.0030396023508693,0.00323471851277781,0.00117748131853036,0.00194386300054197,0.00138648926257031
"H013",0.00273134991751676,0.00253524261586827,0.00164338237919365,0.00293170179909611,0.0434863525149601,0.00295385800771322,0.00270074901755302,0.00231976215655615,0.00285939902573105,0.00273874737046848,0.00187489809891069,0.00193082803147522,0.00242608038227916,0.00272724477117242,0.00199047892795474,0.00256685618166904,0.00365413718079428,0.00242121006964531,0.00157650081052762,0.00199334809372965,0.00168656735292548,0.00265091475531128,0.00172213891383065,0.00176807044030377,0.00252110095645534,0.00195222957024601,0.00265065324619889,0.00241373327281798,0.00298207613343819,0.0034519605798762,0.00171268973092516,0.00301512748847411,0.00228485998501008,0.00212774223296307,0.00377650194769066,0.00184065408781217,0.00157578738566649,0.0018840473559698,0.0017775547888409,0.00197470414379444,0.00243907260006794,0.00194617577181339,0.0018160388389775,0.00223355723115411,0.00260253830699731,0.00282297736392444,0.00302909350981618,0.0022003352267683,0.00270724926088926,0.00216718506782209,0.00299538092821905,0.00338621346695627,0.00285499847068303,0.00175182663688635,0.00245711973697753,0.00237280327101011,0.00172505025096734,0.00182002573630456,0.00239963643507467,0.00278484696902116,0.00209195452992277,0.00284658117122204,0.00144769204424241,0.00181753962050832,0.00165422806576576,0.00347394377267636,0.00219662385417593,0.00309609711709187,0.00230236773518902,0.00315252857176133,0.00218805702393572,0.00327210760573098,0.00166668537030037,0.00300903182512716,0.00258704510170127,0.00218092705227329,0.00404954692086794,0.00259531267185044,0.00141031721544146,0.0028327035550957,0.00182899727319808,0.00239801663216443,0.00236418518385789,0.00299272439379574,0.00182251424116177,0.00379810612014344,0.00255621434728224,0.00371458651635607,0.00251863327607625,0.00181759023464362,0.00159318711966639,0.00219535386307998,0.00239812045904278,0.00343529339604808,0.00390828022717295,0.00161148505042595,0.00361235481860428,0.00299812009916105,0.00270506627994399,0.00357655015805679,0.00275796214007989,0.00377722041936985,0.00153368594568236,0.00279107777926137,0.00367668254188174,0.00291915482416441,0.00285516520806392,0.00375364948999442,0.00165211345701352,0.00231904481919368,0.00167559911530723
"H014",0.00252630094902688,0.00338446251010944,0.00186720288734785,0.00370719251799282,0.00295385800771322,0.0453728614431481,0.0034009203669145,0.00228904042741495,0.00298711587784203,0.0027265582193061,0.00180540961262558,0.00183637334219663,0.00359448045207574,0.0029191977605723,0.00217145302575719,0.00281215492978557,0.00299680092394852,0.00281908069752047,0.00181517477654153,0.00230647765381722,0.00171078984046145,0.00270356537732038,0.00153169440798217,0.00202550200965895,0.0029435757103335,0.00171625170837592,0.00324135149569282,0.00355285938704248,0.00265244780646547,0.00306237461843485,0.00160915614814452,0.0030652223986112,0.00264672992610004,0.0026209476180788,0.00334051894442193,0.00224190236462197,0.00173139938333249,0.00179628605290836,0.00166082695292607,0.001882836840928,0.00273383879077906,0.00174117363970663,0.00164403045159681,0.00292952934131981,0.0032997776408337,0.00318543588631533,0.00369342948221374,0.00212215539379464,0.00256281467375529,0.00320249050318427,0.00306356893459169,0.00301260619107591,0.0029168979438993,0.0019878518706038,0.00245984047917674,0.00258720322361528,0.00198141171537648,0.00193146915648571,0.00285138657885814,0.00340124019191467,0.00176006635121118,0.00387696217168668,0.00161986373184231,0.00166259795190065,0.0018226306940297,0.00397979803636192,0.00196014641907076,0.00293237893488905,0.00217082371460475,0.00295453822000068,0.00206192371484552,0.0031761438571925,0.00162022653626891,0.0028641810097962,0.00221798664598595,0.00233929488470177,0.00459764048549497,0.0024923496196854,0.00141955862220922,0.00306038679681542,0.00162133672773207,0.00338468187509335,0.00338481241420199,0.00328351950818087,0.00214810614890464,0.00305358774511996,0.00274238283166705,0.00307911832357459,0.00275017586758362,0.00184519736949112,0.00179360691129191,0.00254387259030275,0.00269393678593111,0.00310060365188535,0.00340351864171719,0.00147664368246831,0.00323885910079389,0.00369721030304949,0.0023260752780447,0.00296589560681337,0.00275472229829836,0.00303576665366187,0.00167815792762655,0.00276097234214476,0.00303780436736414,0.00348671540855351,0.0030704425609206,0.00325573720939571,0.00151598143600577,0.00245336609735344,0.00159678289217473
"H015",0.00240880723314645,0.00418475297872039,0.00162344361720617,0.00340906684689829,0.00270074901755302,0.0034009203669145,0.047743320254904,0.00205903963764377,0.00282885435210239,0.00211211149885168,0.00188635622523245,0.00169409895680566,0.00408639401454883,0.0031282793180298,0.00223503427863904,0.00223794834180205,0.00270056270773899,0.00327007797613692,0.00164996258548747,0.00219756461971377,0.00163558453361129,0.00223432749837444,0.0014494281154159,0.00190483007243478,0.00292376198101677,0.00166706870439981,0.00346610356995523,0.00435747107568157,0.00242782567192988,0.00301914898911162,0.0014249873370101,0.0031004898655227,0.00253195950147429,0.00237591374291611,0.00282643022122753,0.00215317928553341,0.00167446680107429,0.00168263053941504,0.00169034509750298,0.00185897732741966,0.00257499093925253,0.00169922463329804,0.00154450052517802,0.0028750429600331,0.00391986872217489,0.00361737276958895,0.00394546797603538,0.00213648777264399,0.00253811991175481,0.00333635421825935,0.00298584494076678,0.00292507785618154,0.00337625148602376,0.00183642583954689,0.00240769313549854,0.00311578403574108,0.00186032519803907,0.00181475312889947,0.00260200205223092,0.00387822084584071,0.00163080621481073,0.00416432220641469,0.00149709257810206,0.00162120970702049,0.00193657021628251,0.00393501546532592,0.00183466033960989,0.00303549436793914,0.00189737125413351,0.00293291171067081,0.0019558190596747,0.0032573602011024,0.00140144792126043,0.00291753840116963,0.00270204524682402,0.00234214089160768,0.00453790160837555,0.00208028668412046,0.00142269636766399,0.00309820383651479,0.00142388892735989,0.00372875543730968,0.0038982264183516,0.00366876379669195,0.00196924237854493,0.00303057558566558,0.00262433223532955,0.00256867091677151,0.00216702543540108,0.0020145633448585,0.00172637002328008,0.00230054571020089,0.0029775643111814,0.00314303684290809,0.00321139967316965,0.00128933243514101,0.00290331674826159,0.00309172987765482,0.00190801255243282,0.00307904017320761,0.00297806709228166,0.00273687980697176,0.00157404618462707,0.00293838447970286,0.00291063524706527,0.00372776765558075,0.00324720360723822,0.00304127522574095,0.00130844851961536,0.00214725953535088,0.00148676614466772
"H016",0.00340448335210406,0.00194558659005538,0.00295735394272135,0.00187624150205209,0.00231976215655615,0.00228904042741495,0.00205903963764377,0.0397546183280644,0.00233729875599123,0.0026685755791707,0.00336663058665912,0.00295204826796883,0.00193502983570661,0.00202030552396651,0.00288194458796918,0.00281718379601513,0.00223359389366456,0.00291929235615013,0.00299064775691727,0.00288960278427673,0.00253917737739778,0.00321012013033523,0.00266465020455406,0.00279872252842253,0.0030253846941239,0.00326232951526256,0.00188862220739177,0.00206996828008419,0.00321794198671632,0.00218883662454748,0.00294646623885164,0.00210615587012507,0.00298562980347089,0.00328854691863566,0.00235562243254939,0.00271644916354544,0.00290398990451369,0.00328127951215313,0.00306302665115476,0.00300213667215721,0.00280850054431998,0.00311820015405734,0.00314783218787789,0.00383723348512748,0.00195312566867733,0.00253784426367969,0.00206222513204081,0.00321991284725661,0.00316096386139567,0.00182922932239375,0.00213919235348287,0.00235713769008042,0.00219877914820719,0.00284364315220731,0.00327739083791861,0.00197590242918001,0.0027448828945172,0.00277331065880054,0.00284823127006266,0.00185170491981479,0.00299036128860894,0.00252609551359465,0.00275139303883435,0.00299222457468645,0.00265285547073658,0.00267796659662034,0.00335297502172187,0.00203304728602433,0.00359035322574767,0.00223741913865749,0.00318063483989497,0.0021444612878669,0.00311505765197531,0.00202286326916489,0.00314304034658644,0.00308882971857114,0.00270990165303732,0.00361230204186477,0.00222622874083766,0.00215995093581217,0.00276399217330106,0.00175333212141197,0.00194216238993581,0.00189730281817746,0.00285214619333253,0.00227209327951657,0.00282299968039533,0.002420223840418,0.00270537538686766,0.00276222413386872,0.00284490923330641,0.00294076523972437,0.00186487556803698,0.00223370015460974,0.00244598346310796,0.00305038378793353,0.00244663736039735,0.00219778542066524,0.00311780819260257,0.00208308120634556,0.00200567553798792,0.00220437022337566,0.002644337195387,0.00203008990798056,0.00220189082767075,0.00190901459075352,0.00222011704351746,0.00235214500029884,0.00261956227788776,0.00289751713060143,0.0026735726060328
"H017",0.00243245658779885,0.00300621427592482,0.00139326320248888,0.00282556804574924,0.00285939902573105,0.00298711587784203,0.00282885435210239,0.00233729875599123,0.0454492860916928,0.00193146596769442,0.00194873431200818,0.00181814290642849,0.00310718855432867,0.00356018881064696,0.00172544046826114,0.00200428714866238,0.00339678364732989,0.00230213860792444,0.00139694366754008,0.00177320413894747,0.00143429245114379,0.0026445862685515,0.00146603455729283,0.00163113083970781,0.00223989411622935,0.00172306012066332,0.00329903016050384,0.00362904396846179,0.00267474994572109,0.00333986543030934,0.00153259514838932,0.0033996825534461,0.00226836510120419,0.0028315448870171,0.00225883296249741,0.00192097065071659,0.00128777434046385,0.00181535976975099,0.00148219828643228,0.00185776959868167,0.00223365046993443,0.00172204908839598,0.00159623191250725,0.00245005405211877,0.00295919212938586,0.00472596590359635,0.00275894990436999,0.00246115601292272,0.00264698366478893,0.00321327138871142,0.00343077551383038,0.00345451635871546,0.00367091002530265,0.0014334679894274,0.0024691359594264,0.00347159451121871,0.0015197959962241,0.00146395261011466,0.00224900694395021,0.00312073696637801,0.00190812711674603,0.0038347362013193,0.00127347964859016,0.00170085233503012,0.00158011647049747,0.00338303655916991,0.00219318484506109,0.00358919869248639,0.002193936863925,0.00366705011641438,0.00200679809300866,0.00385921180601238,0.00145203328466952,0.00331188264164404,0.00250356777950295,0.00254545238197473,0.00372160246438395,0.0022864329432007,0.00102867047231473,0.00266650363849366,0.00156192031527551,0.00288388242176606,0.00342381400674827,0.00268612680234482,0.0015975872937101,0.00310188825845344,0.00225482036929189,0.00292349666950999,0.00193656803033401,0.00177188827921269,0.00145212456513369,0.00267351625966888,0.00325664579579947,0.0038905903340658,0.00397557030299562,0.00135851582019188,0.00339975070897211,0.00321360971720692,0.00198398052375007,0.0028034343259103,0.00349023651047747,0.00299974206576086,0.00127538758962839,0.00367021427205398,0.0029771613320077,0.00282412998681004,0.00341403099004474,0.00338939756190699,0.00133504676320206,0.00190964881546212,0.00151102844274552
"H019",0.00335213290679276,0.00185023983458348,0.00294022062617948,0.00214097060629188,0.00273874737046848,0.0027265582193061,0.00211211149885168,0.0026685755791707,0.00193146596769442,0.0432393717518352,0.00224097239126118,0.00275151493154514,0.00188583083555259,0.00171221083166534,0.00316329745362786,0.0040698302379297,0.00246209372330232,0.0031653517926415,0.00269962501491342,0.00325574685354934,0.0026989353941989,0.00269162624546537,0.00245062063885315,0.00288981167050888,0.00317652673658866,0.0025054599080177,0.00173553866776403,0.00166621292098238,0.00340669224821434,0.00223649122499161,0.0024562169775539,0.00195395783178801,0.00345685422205186,0.00219373470238949,0.00388696861683541,0.00305761197675559,0.00253991738697211,0.00274778162995159,0.00221803667761693,0.00246316735449911,0.00393135427835157,0.00266525926461929,0.00267579975988989,0.00277791685423247,0.00190118247033183,0.0017382293381637,0.00214085995820299,0.00288697324852265,0.00316469910322969,0.00154891107624222,0.00188482006515017,0.00232470216750425,0.00178979753137545,0.00287318691374087,0.00292440885949274,0.00144706553931419,0.00284641651866619,0.00333949791593119,0.00387473661825817,0.00181235983439906,0.00290690758367422,0.00225574958967956,0.00261104824470873,0.00266394593820437,0.00223919546732162,0.00260332399191929,0.00310740625916461,0.00178359243091713,0.00299625957355249,0.00198991073612463,0.00279555759179275,0.00185274296053491,0.00237361492464683,0.00195056349230172,0.00230263744491126,0.00251600261325702,0.00302515026922973,0.0031731803784789,0.00218593522306829,0.00200231756684346,0.00237869725498475,0.00160236483825044,0.00162091808271815,0.00220932291624795,0.00273745805723412,0.00238510998357241,0.00398921623506464,0.00300953990139787,0.00392195837699431,0.00214605608888886,0.00242875009445416,0.00254515757149078,0.00140809145892294,0.00221490595437198,0.00238678347143634,0.0024430317283928,0.00229060890851042,0.00236417229696949,0.00365163055312299,0.00218986449953395,0.0016828801580799,0.00220339326274892,0.00263242657033235,0.00156668595004119,0.00227807007884266,0.00199081481859998,0.00190356813451716,0.00231353791869907,0.00271943672919532,0.00417363536612937,0.00220294877623541
