"","H005","H010","H011","H012","H013","H014","H015","H016","H017","H019","H020","H021","H023","H027","H028","H029","H030","H031","H033","H035","H036","H037","H038","H039","H040","H041","H042","H043","H044","H045","H046","H047","H048","H049","H051","H053","H054","H055","H056","H057","H058","H059","H060","H063","H065","H066","H069","H072","H073","H077","H078","H079","H080","H081","H082","H084","H088","H089","H090","H093","H094","H095","H099","H100","H101","H102","H103","H104","H105","H107","H108","H109","H110","H111","H113","H115","H117","H118","H135","H148","H163","H164","H165","H167","H169","H171","H173","H187","H192","H194","H225","H228","H231","H233","H234","H236","H238","H239","H240","H242","H243","H246","H247","H249","H255","H257","H260","H265","H266","H270","H271"
"H005",0.5,0.00152289537425508,0.00245772809958512,0.00191242054298558,0.000710798314516121,0.00233728722984807,0.00179246180730021,0.0032743199718911,0.000876062474719671,0.00608991358491048,0.00409547500437368,0.001364291254846,0.00152434190487777,0.0095741957458274,0.00144856489202824,0.0164324181649051,0.00141995454314128,0.00544938432666312,0.00125696828481124,0.0026661737977548,0.00126217827533282,0.00521724232519098,0.00134424891030351,0.00210989624051289,0.00317545938587976,0.008414345110322,0.000652713670838479,0.000594759604139466,0.0323641916056624,0.000856216020829403,0.00096345493094598,0.00130451795631007,0.0107788548433534,0.00258548810388924,0.00367261998489182,0.00574369284038784,0.0016013839259357,0.00186693774705842,0.00129172732302807,0.00990533296427973,0.0111991364475388,0.00186599228245151,0.00108706132388491,0.00205672754984029,0.000969487452583612,0.00161822972645814,0.00126560196321147,0.0260593388965981,0.0166906861107244,0.000582227488116842,0.00103079647954172,0.00121392825981081,0.000852111157918342,0.00108938215924657,0.0018138072712556,0.00160931582606389,0.00183500676297555,0.00227852107049224,0.0057319492461067,0.00128227107051883,0.00217118687427458,0.00162305932290748,0.00223761527810544,0.00175003157283448,0.00127716063527162,0.00102370647163638,0.017304097614591,0.00218521822610095,0.00363598767027018,0.013612188411035,0.0018548656341684,0.000927810584903953,0.00163512817348865,0.00259542265984481,0.014500248300513,0.0286166353274991,0.00141201181154418,0.00230122964416416,0.00282196087354642,0.000869131792425353,0.00329826194703822,0.000718195414063937,0.00143366148983467,0.000793744511123259,0.00345521792855894,0.0012462371239857,0.0167238848154772,0.00108524091970665,0.0132753812140336,0.00385597295796142,0.00167155337340592,0.0254771594763821,0.00109841268257064,0.00194795766629295,0.00141125816242549,0.00335289523215278,0.000902142083713194,0.000708595812164996,0.00541974389680303,0.0010361542294591,0.00111337238959759,0.000954241291673626,0.00472703510681106,0.00211137591642082,0.00103135632535245,0.00117389519283246,0.000683671629631837,0.00088121705371234,0.00442840208755769,0.00652285363640611,0.0344504465688494
"H010",0.00152289537425508,0.5,0.00272067108742623,0.0248364978689438,0.00241071877442341,0.00227784224301498,0.00608588181544434,0.00161906116724274,0.00265658771085607,0.000976121916225532,0.000969197124485802,0.00109817336585055,0.00359616773346269,0.0103974026276265,0.00217579291988215,0.0125642484910646,0.00376018535244836,0.0131241516706202,0.00238036846043284,0.0118750539605078,0.00216002885067215,0.00190544124190797,0.00142588622335702,0.00198112041407358,0.00244109535542133,0.00138516809462361,0.0094984758387799,0.0206218847827323,0.00101661255007264,0.00297394139306415,0.00252971844530305,0.00230549057293411,0.00106716682336761,0.00144502091698427,0.0023570398901195,0.00108026223355669,0.0122281213577266,0.00103799464342222,0.00117235878970406,0.00119616061512235,0.00180212563824982,0.00128617246715827,0.00192841297339965,0.00273252435650758,0.0129043430099266,0.0116091087908017,0.00251743871673249,0.000987429635248396,0.00142381326117076,0.00990085440723287,0.00203754752455591,0.00307017653150322,0.00345110266471366,0.00201839503112187,0.0010436549180515,0.00367229932890652,0.00268022343136078,0.00284865586911032,0.00188427546670213,0.00315572862467426,0.000956975450512629,0.0189825618978974,0.00272787180263811,0.00102611880918041,0.00214216969556492,0.00442041642001249,0.00111998385678077,0.00309223352505757,0.00137067403916941,0.00339917267823132,0.000836887777932651,0.00326994138488443,0.00291853599464978,0.00286075974292591,0.00253112871324421,0.00166425211091566,0.00752112089279158,0.00146894937385259,0.00211782551130552,0.00942495413639896,0.00138402232333155,0.00817597962684926,0.0127796296313941,0.0204308070851244,0.00257728752229685,0.00747319080454208,0.00160851801026721,0.0147296754781714,0.00342230204915165,0.00136445464579102,0.00288533932317545,0.000812565307000832,0.0262461090477323,0.00588057702422711,0.00331884535569288,0.00248717242915078,0.00360857628644654,0.0233083100600167,0.000939091590944267,0.00301381093771489,0.00214069383154687,0.00374361220970117,0.00250251963847163,0.00269029293989958,0.00238595044845417,0.00262024349923042,0.00224167163664726,0.00268047591196202,0.000919890360148133,0.00106702830766668,0.00107348411359202
"H011",0.00245772809958512,0.00272067108742623,0.5,0.00218214313975157,0.00147064824423894,0.00192640062817326,0.00255687991202253,0.00316241955663648,0.00210702882303991,0.00612796864095532,0.00252010606626578,0.00236731749324962,0.00133877530672304,0.00112122364849755,0.00285953222107104,0.00523618186135214,0.00225067133089921,0.00286395120188173,0.00333439371300019,0.00301317155298936,0.00204676160878864,0.0145463700721806,0.00785089245218554,0.00308069909794333,0.00815287721677635,0.00134651623874976,0.0013714178146591,0.000930941850705187,0.00150744157509996,0.00183717781469123,0.0089608865421561,0.00232896403680055,0.0012607981567456,0.00287381781013104,0.0480532250818727,0.00171785876639998,0.0228384621436313,0.00278752467097433,0.00204302899988549,0.00300029027184314,0.00182569904438663,0.00197401684638425,0.00907040974484888,0.00330316303277659,0.00259964366393316,0.00118903359724973,0.00241479979850392,0.00132723397077198,0.00381378094190498,0.000992954047227798,0.00176656944545043,0.00211888761758751,0.00187040831108298,0.00796716372316649,0.00489517161918387,0.00152391478512622,0.032713162976545,0.00187480327217334,0.00145932372011152,0.00162785761558436,0.00147635844861037,0.0031999529975089,0.0114181100252726,0.00209627029766323,0.00328531239553499,0.00210752175661847,0.00122767650718326,0.00188372681498042,0.00231039435645008,0.00252522714259485,0.00217264472114889,0.00150270414330103,0.00593280424924227,0.00390523632231042,0.00225111994675368,0.00483503204967673,0.00177336318517785,0.00388635238264709,0.00567848970565317,0.000883595580971609,0.00359609694046393,0.00132649212155355,0.0192285052044576,0.00159549764576155,0.0066113724599863,0.00147439770235038,0.0022459226442047,0.00135120691154852,0.0303920127292643,0.00239746172701549,0.00887316210626498,0.00137486851407726,0.00140134986376895,0.00381148976103657,0.00162940229064049,0.0399566571096326,0.00214165334981454,0.00124411182557844,0.00158897621193367,0.00184376266806458,0.00241996000453932,0.00121041834923529,0.00430188550846523,0.00131159838427767,0.00102178340428263,0.00451059038411596,0.00136583801563622,0.00122744696393506,0.00174421476585756,0.00124998213925363,0.00190065879440318
"H012",0.00191242054298558,0.0248364978689438,0.00218214313975157,0.5,0.00334968183093682,0.00342417740619818,0.00424460772866573,0.00240305916264985,0.0150675397657538,0.00159242993144153,0.000981182502931793,0.00184040727658599,0.0116101847782965,0.00381982323731571,0.0019195459933957,0.0229249811217173,0.00758809210919736,0.0163993920609407,0.00118282535635638,0.00252718105313648,0.00140272632623679,0.00272357174783097,0.00206067479929396,0.00124487153854312,0.00174323440117361,0.00281997941896638,0.0175051617458139,0.0109004013742014,0.00107911669005653,0.0107965189455659,0.00152929022265094,0.0149856479077874,0.000982329320755933,0.00231122317580305,0.00239790752588374,0.00140877045797909,0.00239371337504508,0.00130943783995704,0.00128275389033964,0.00120139992645618,0.00244895827233298,0.00239180659987764,0.00217494875601272,0.00260005486082554,0.00556495912019989,0.00347259450466176,0.00531988592284714,0.00138667366802982,0.000968997454742994,0.00949253048749635,0.00276575987773726,0.00429640092121362,0.0101637121586128,0.00153435475040704,0.00112390121580249,0.0033480905859554,0.0021741706090876,0.00205123286594497,0.00334268771823488,0.00571723486256437,0.00215256950165032,0.00291785833550973,0.00241325225245799,0.00162405673016469,0.00240443546167454,0.00333055477027894,0.00144976946822018,0.0159128983363339,0.00256157094492841,0.00351987174968186,0.00139185790488277,0.00251713075336755,0.00198198878860778,0.00334967065365341,0.00197602003584409,0.00225531573481472,0.00285691491320215,0.0028468738298818,0.00161144196954297,0.0102353540388234,0.00253637757703871,0.00597199986850998,0.00897837303762231,0.00563987114943183,0.00106756731068606,0.00358977878524959,0.00225437989215957,0.00393071269044983,0.0040058456450199,0.00115785741114311,0.00200548653622341,0.00102140993348498,0.00485505406398466,0.00664806485850704,0.00327896973268196,0.00154576508159097,0.0163511049787744,0.00541942578828327,0.00230500827247171,0.0035967864905942,0.0149852330473529,0.00240007412758298,0.00130551655884835,0.0019340889011622,0.00305382166952396,0.0148772916887301,0.00334905808190239,0.00293821853591543,0.000942152350278681,0.000985511890081897,0.000995210227322606
"H013",0.000710798314516121,0.00241071877442341,0.00147064824423894,0.00334968183093682,0.5,0.000990734376930128,0.00170365950171251,0.000942269257856028,0.0347743332069234,0.00125240916597151,0.00125732402289084,0.00230577938410275,0.00112383600105895,0.00290338396078907,0.00116908265762317,0.00106590989964266,0.00445084303905023,0.00116215266373539,0.00165309007616944,0.00104966728210732,0.0017749102016014,0.000979864989831227,0.00158926099484143,0.00175078961334878,0.00346397779391063,0.00458094769316257,0.00268776713069906,0.00152884710544273,0.000567279323280242,0.0125595614050128,0.0125251441634809,0.00519093034521994,0.00046903562430616,0.00108336973054508,0.00112989041428395,0.00105465169755179,0.00215837331389796,0.00751495298528206,0.00725259076104849,0.00153575358497557,0.000544279432531771,0.00225608011085268,0.00311300945529216,0.00104599734986063,0.0026792285400685,0.00600501663899728,0.00314013633630315,0.000497190002411071,0.000991293817642479,0.00114529575228121,0.00210399853044815,0.00464025051788554,0.00488132634953089,0.00155310066321542,0.00882175055795683,0.00326742851564788,0.0019187114736387,0.00127513018887858,0.000674176436847417,0.00164442963615829,0.00215549469408405,0.0102007902587181,0.0013867098597878,0.00127255654439777,0.00172501821468973,0.00249252235681993,0.000716822701850617,0.00490251679610337,0.00201482964433876,0.00580007377501202,0.00890474239354637,0.0475277811466313,0.00257463636747575,0.0055364320658971,0.00120496863770715,0.00102298642532397,0.00609923769463701,0.00268216827959776,0.00119983527348693,0.00126352830833326,0.00198665951775056,0.00113441518957153,0.00289735926982407,0.00302437375015416,0.00126206504621208,0.0106115287943967,0.000788300549976187,0.0166643170090883,0.0011606594159954,0.00123781588268524,0.00178384860410384,0.000473841178207078,0.00196360431929542,0.00240007878284077,0.0297123059747636,0.0017495260096947,0.00522950804199049,0.00149104273258506,0.00141222830265741,0.00106393476255224,0.0032822584783287,0.0182045046600598,0.00123053987617306,0.00919102825416949,0.0120133415284884,0.00499269326846251,0.0524314647676431,0.00894924781672191,0.000829170898917443,0.000520721513125743,0.000725289905028303
"H014",0.00233728722984807,0.00227784224301498,0.00192640062817326,0.00342417740619818,0.000990734376930128,0.5,0.00696515506334763,0.00204240470628413,0.00122336737679273,0.0126759927911126,0.0011173812891414,0.0043447373369627,0.0284207150487491,0.00650604793912172,0.00621649353863719,0.00337176613473029,0.0021384064480707,0.00328977172270183,0.00118906006179927,0.00261538224043316,0.00193996085909353,0.00353194396613514,0.00174829918206476,0.00117356216433349,0.00138083344671552,0.00109601876829624,0.00442907935360554,0.0060319945727583,0.00342901721604888,0.00156642453709302,0.00236637315461899,0.0012696655264615,0.0127089281726395,0.00158055545322412,0.0078420357786273,0.00688400495642525,0.00131209627033651,0.00250293525892132,0.00283731927295579,0.00143060383748251,0.0154687892944168,0.00156006200472007,0.00122413585957767,0.00587200318450542,0.00602471223048684,0.0110673088887623,0.0104393024355729,0.00316074325816973,0.00143221724215769,0.00878926071144708,0.0346428057645188,0.0019497995627634,0.00178325213957253,0.0022670274652708,0.00404430015982029,0.00436622471365954,0.00147414447853313,0.00264952504154957,0.0224415999612869,0.0160055610789315,0.0014131548191573,0.00122833704849269,0.00296921475049555,0.00119066018671071,0.00213464065007954,0.00592147480751052,0.00316869830667844,0.00106337764662355,0.00113806235195589,0.0014863231342919,0.00223251850235876,0.00154087602709452,0.00109807268188049,0.00204632174101592,0.00146954192354777,0.00195942776908711,0.00242326607552446,0.00137542119801001,0.00107538117422573,0.0313062942567179,0.00100334236629758,0.00504053983008861,0.00136821448588789,0.00447616896750342,0.00100259097279791,0.00128368378109416,0.0122944361448713,0.00175326675252025,0.00202564986985767,0.00122743404844556,0.000964035374603592,0.00279599349426732,0.00308791392157294,0.00235843891320756,0.00131787867480422,0.0011398757821077,0.00145964040096,0.00441042024153104,0.0025555332854186,0.0307628533895134,0.00240688530492641,0.00185192901261836,0.000845825020385426,0.00224923274172427,0.00114087068146887,0.00198767769298842,0.00100322867847977,0.00139552570237196,0.00205423639810143,0.0126328025118952,0.00126990055707146
"H015",0.00179246180730021,0.00608588181544434,0.00255687991202253,0.00424460772866573,0.00170365950171251,0.00696515506334763,0.5,0.00244609255055986,0.00184963673856032,0.00161030989373422,0.00131863532884749,0.00153161646675662,0.0316390763567809,0.00589740654706545,0.0155711397652691,0.0116741143180682,0.00281177503638955,0.00444227200786149,0.00192859978610741,0.0225369272821597,0.00119614236225686,0.00197584289277969,0.00198232199480828,0.00126796547743231,0.00229810593271945,0.00203398112715981,0.00211016362558828,0.00265439496081554,0.001855145161686,0.00213175066036902,0.00242580924261535,0.00162713442798968,0.00207464665090477,0.00218581734929834,0.00339672835251731,0.00140383914745458,0.0100565138260972,0.00100996566771434,0.000978192899151652,0.00116435082320289,0.00220161479929332,0.00153590503006396,0.00255234952659001,0.0279306498495279,0.00361181042211201,0.00371595706979121,0.0164857590443839,0.00177919660946413,0.00210878374320928,0.0020399435054715,0.0036114731296544,0.0240127444849066,0.0034857547732804,0.0118697615198963,0.00115282909708727,0.00707527947057656,0.00250725728784851,0.00280221465086591,0.0190193843451496,0.0400801583189103,0.000988608296127538,0.00285783489674669,0.00147766870788453,0.00112930486898796,0.00155785603448299,0.00328076461772692,0.00116369205051652,0.00177243779736343,0.00124111096734672,0.00340878594753522,0.000821022014613726,0.00201188487149995,0.00331900356598603,0.00348337080398745,0.00191912529061541,0.00144221777799794,0.00894379140683794,0.00120933984250042,0.00143678531742216,0.00329422669919309,0.00193391868713659,0.00143290360492265,0.00214840961103312,0.00274077214359619,0.0014237818699728,0.0122196133338606,0.0048365914046371,0.0104040014275358,0.00873531115176157,0.00108991290878776,0.00153791802965599,0.00119884382205654,0.00259492799974181,0.00180801126349994,0.00268911217932616,0.0023776489747636,0.00355068860589422,0.00166352309444196,0.00172385338437249,0.00654225522284754,0.00179284509677456,0.00231336458243757,0.00134187599071164,0.00293361973934522,0.00181999628199619,0.00180455451659223,0.00169791412756375,0.00401996377393184,0.00133778427224608,0.00210567635947707,0.000948389382081372
"H016",0.0032743199718911,0.00161906116724274,0.00316241955663648,0.00240305916264985,0.000942269257856028,0.00204240470628413,0.00244609255055986,0.5,0.001640240485012,0.0013763169793525,0.00570396330540047,0.0105135219172695,0.00213134645065633,0.00104182813897012,0.00367728326540064,0.00894952777137416,0.0013741082609179,0.00628115974002593,0.00325929540560211,0.0154245264881192,0.00447321454391189,0.0168963964079813,0.0255726055945776,0.00221093936069101,0.00325304532755625,0.00431643237665883,0.00117383220403079,0.000965905331008614,0.00230129001335318,0.00214742725326858,0.00325385524463165,0.00199868991405787,0.00172146994241027,0.0254054649293381,0.00933076066345151,0.00183937858961123,0.00279635914233194,0.00213065927344385,0.0042528831411798,0.00370038353996546,0.00204004563894708,0.0175078279690259,0.00243206883186065,0.0112947685929462,0.00141663814793833,0.0013073639082871,0.00182311309518771,0.00282245194058375,0.00945049258521683,0.000980246347417446,0.00869641384520383,0.0010096349558759,0.00119011986215527,0.00333226657158893,0.00272654057145501,0.000984435431407834,0.00265550427830335,0.00240678275678072,0.00277551829949397,0.00195361994154064,0.00382533200530412,0.00139580171967919,0.00275498192154869,0.0363577473632675,0.00398816023419976,0.00239655344373319,0.00239313688708973,0.00252992769330791,0.00312387524539108,0.00181006869599017,0.00236129106615213,0.00117383111656276,0.00339887537805516,0.00147330860592808,0.0262862036414614,0.0136419434804722,0.00133528435381925,0.00295750457498665,0.0025441268290909,0.00112704756719162,0.00562054217443902,0.00103409451003988,0.00162375649134346,0.000958873731623232,0.00218212131532017,0.000937915797297988,0.00155299484241144,0.0008824716683407,0.00592765165161518,0.00592876543089453,0.0018880319150344,0.00265695173477176,0.00161785640536124,0.00134568060662944,0.00086379699800695,0.00302867293792149,0.00143124326837614,0.000959482352042158,0.0166337016165971,0.00271641827916268,0.0187895458264752,0.00102614239828805,0.00235878562486121,0.00145546848682107,0.00115474674530453,0.00195898349639803,0.00107317352791361,0.00098680370707749,0.0154951328677154,0.00184998590934295,0.00261101113904452
"H017",0.000876062474719671,0.00265658771085607,0.00210702882303991,0.0150675397657538,0.0347743332069234,0.00122336737679273,0.00184963673856032,0.001640240485012,0.5,0.00156530085794946,0.00118421330560896,0.00207345861208709,0.00167489862620479,0.00277021505530785,0.00217821019341679,0.00156791082453428,0.00461667361500486,0.00114855283098449,0.00125234135432208,0.0011762773052086,0.00137509275510205,0.00191153561356447,0.00208040858900246,0.00142891373996628,0.00192449611795503,0.00873284613385194,0.00812677152140152,0.00212395389481794,0.000692974894724982,0.0347331014779831,0.00528030916226194,0.0286281038330179,0.000533661740528784,0.00206762936725839,0.00211188561319843,0.000839708710891697,0.00131047265213061,0.00247463025647828,0.00196067958068416,0.000965455757144512,0.000646727467726553,0.00353244905738906,0.00278179021473062,0.00155533247632067,0.00932117351437983,0.00393458059310659,0.0132916762744862,0.000646554319763789,0.000810774798698917,0.00187759615614906,0.00158720784589719,0.00500434867724746,0.0151544751772746,0.00158735972077648,0.00245870309900879,0.00294436805338279,0.00240324464430429,0.00131383372927927,0.00122431148585097,0.00186101442354185,0.0033345126664708,0.00208837262325122,0.00272505299789457,0.00163298764674504,0.00288693839872975,0.00262114500006825,0.000731168085750416,0.00911430794476909,0.00265937116031595,0.00591873427773244,0.00456685459954823,0.00758395901001041,0.00209935088676391,0.00335511326144862,0.00115530817898249,0.000967711329378131,0.00277977798073071,0.00402117778733142,0.00168540965062286,0.00159889395020224,0.00200512763519582,0.00138402766050289,0.0142123294882022,0.00289275935280602,0.000912992854539742,0.00450326234076784,0.00142065635688324,0.0116302730866153,0.00162415761806196,0.000853286484471172,0.00218659859652908,0.000597457076806973,0.00197695090366261,0.0018694449735511,0.00570315856490537,0.00135893573659905,0.0172647803651061,0.00184530696529292,0.00256896448131539,0.00123833118385153,0.0167036460868521,0.00609316845377336,0.00117482147677979,0.00388541211057324,0.00654812378973422,0.0277170030806728,0.0308832048473702,0.0054245237868977,0.000945000342484627,0.000579494665307445,0.00073039919440742
"H019",0.00608991358491048,0.000976121916225532,0.00612796864095532,0.00159242993144153,0.00125240916597151,0.0126759927911126,0.00161030989373422,0.0013763169793525,0.00156530085794946,0.5,0.00251101665141665,0.00246633190420977,0.00194234325870813,0.00102282628533162,0.00132618111341715,0.0038598280573326,0.000986581526230763,0.00694193234073983,0.00134328280510777,0.00190131450764302,0.00279649056076606,0.00415400747527415,0.00100690751631326,0.00180646534511908,0.00138719693311621,0.00156029033668809,0.000785193335217332,0.000706829123980839,0.00855338129320057,0.00143206369670763,0.000835416240900126,0.0021700729210292,0.023669702561791,0.00130005652058866,0.00631450158305761,0.040364908790806,0.00159642109661743,0.0146364676030553,0.00455438032607883,0.0127705609778455,0.0464312923153791,0.00180629032038646,0.000941044459519302,0.00136298059193937,0.0023279750150572,0.000843768235698599,0.00144777765864049,0.00795298969809706,0.00405370187952621,0.00086154590818004,0.00309558795552124,0.000540535634395236,0.000808438354989888,0.000783926199481262,0.0169720537219837,0.000594648740728657,0.001847138861109,0.0087489597011395,0.00773348890231014,0.00109889717590464,0.0027039228979991,0.00105515179604141,0.00574780731235885,0.00140509305882177,0.00157655298965358,0.00109518660790873,0.0202271747394807,0.00112766669996457,0.00341566557318274,0.000968147245857074,0.0106375207880757,0.000659398125101053,0.00071560470366999,0.000851408160198614,0.00282884166041804,0.00431105085324275,0.00100054759142962,0.00324691643978348,0.00217878905669995,0.00157592188952004,0.00107832850307793,0.00103725288275399,0.00147239468894928,0.00125075190477651,0.00177611165680513,0.00049378254144973,0.0394936718742352,0.000584062511176978,0.00284987985862096,0.0024987877035374,0.00110389760270606,0.00952629250177723,0.000611877904934836,0.000795360373283325,0.000577777610082453,0.00180705658007424,0.000939282682724918,0.000816574288079657,0.00613657465083199,0.00244489422690496,0.00142082840874637,0.000549828128169619,0.00126429597159502,0.00106787899934625,0.000677367484597206,0.00885497610386112,0.00112780244153245,0.00052444846565062,0.00250658132654339,0.025515651385134,0.00332023613728528
