X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000211949	4257.99822118374	-6.52562963122473	0.657872283136073	-9.91929558138107	3.43169472523025e-23	8.89752649884073e-20	IGHV3-23
ENSG00000259976	1950.61435688676	-1.17202895171609	0.12153929215434	-9.64321028155864	5.2519294694198e-22	1.1671662970147e-18	AC093010.2
ENSG00000271046	65.5091982637089	-2.97602377483702	0.309274008389441	-9.62261196902647	6.41803363859405e-22	1.31245716005222e-18	AL512631.1
ENSG00000167641	53.2182715844908	-4.5846797645778	0.520293281784389	-8.81172201350413	1.2323792134929e-18	1.16190952937589e-15	PPP1R14A
ENSG00000189233	651.775516167931	-2.03004417146603	0.236679036094848	-8.57720313958224	9.7207853730004e-18	7.75494346949132e-15	NUGGC
ENSG00000164850	35.1938267711241	-2.62358354667213	0.31462969828653	-8.33863923513942	7.51503060772319e-17	5.70280847068516e-14	GPER1
ENSG00000136634	105.04711633057	-2.82522402128131	0.339154384888288	-8.33020048439563	8.07055662436385e-17	5.97855305366268e-14	IL10
ENSG00000171659	127.113602378169	-2.45262545148784	0.301700535295741	-8.12933742090864	4.31643253355993e-16	2.79785761284688e-13	GPR34
ENSG00000172164	241.013464982209	-2.11712046137999	0.262182448635442	-8.07498927711898	6.74825758533834e-16	4.01462821080931e-13	SNTB1
ENSG00000179388	640.432809706001	-1.9517234017976	0.243521595302895	-8.01458038811719	1.10513659589773e-15	6.25165725603022e-13	EGR3
ENSG00000105486	4875.43049890243	-0.591260945688615	0.0751908978216436	-7.86346436627361	3.73652674675673e-15	1.78853164110526e-12	LIG1
ENSG00000148429	9199.37340059564	-0.984177574703885	0.12558317599151	-7.83685845602774	4.61958286363932e-15	2.11653383075977e-12	USP6NL
ENSG00000153064	12143.7929280702	-1.41983467018002	0.182462562466913	-7.78151227837488	7.16626738078472e-15	3.01302806781561e-12	BANK1
ENSG00000258760	8.57569888333071	-3.3860369405995	0.439350976411014	-7.70690660177765	1.28904066834711e-14	5.27709504135312e-12	AL355076.2
ENSG00000163995	49.2247107067634	-2.10156223095125	0.273059425351915	-7.69635484379558	1.40002677742122e-14	5.60005531076286e-12	ABLIM2
ENSG00000105649	124.120126555765	-1.95656975976812	0.255392741752493	-7.66102335697653	1.84457304307045e-14	7.26458241633557e-12	RAB3A
ENSG00000182870	42.1539205442623	-3.20151085334478	0.422637206574558	-7.57508047929046	3.58905073152168e-14	1.34537512541969e-11	GALNT9
ENSG00000011638	1468.17119172982	-1.19451975952827	0.15929434871636	-7.49882069988079	6.43945388720428e-14	2.30288194014468e-11	TMEM159
ENSG00000254206	570.462999333366	-0.967278218000902	0.129651240825719	-7.46061674258207	8.61184126467757e-14	2.94439799195509e-11	NPIPB11
ENSG00000026297	9143.82416501919	-0.631584738104613	0.0859411882130886	-7.34903427840231	1.99643989269288e-13	6.67905746036058e-11	RNASET2
ENSG00000198885	371.211903288284	-1.18654373621053	0.163217491165451	-7.26970943946045	3.602615582946e-13	1.12364335746304e-10	ITPRIPL1
ENSG00000120217	371.585953717327	-1.39536664303463	0.19272754731295	-7.2400996250362	4.48355272311646e-13	1.32854072261259e-10	CD274
ENSG00000160145	39.4968620006981	-2.99819743973558	0.414107042200183	-7.24015081657611	4.48186069604822e-13	1.32854072261259e-10	KALRN
ENSG00000182379	587.768643318	-2.25876445450948	0.314872322137411	-7.17358845381065	7.30570118996817e-13	2.08534202865578e-10	NXPH4
ENSG00000158158	3195.19780959357	-0.669636417357807	0.0940926507207984	-7.11677705142799	1.10479976830967e-12	2.98901175577554e-10	CNNM4
ENSG00000164849	35.146752792157	-1.90988868138077	0.270776707857807	-7.05337137928314	1.74633932525146e-12	4.60456401919904e-10	GPR146
