features	weights	abs_weight
cg10428536/WDR91	-0.523835337433396	0.523835337433396
cg03303633/ZEB2	-0.527421735924975	0.527421735924975
cg05680973/HS6ST2	-0.531422317350729	0.531422317350729
cg16097191/NA	-0.532899158120514	0.532899158120514
cg10272176/PRSS22	-0.533725762953574	0.533725762953574
cg12843448/NA	-0.536655064622375	0.536655064622375
cg10634728/SHC2	-0.537331847245602	0.537331847245602
cg05266836/NA	-0.537727400964777	0.537727400964777
cg02574464/CNGB1	-0.541106300083528	0.541106300083528
cg07438246/SLC6A6	-0.541378368994606	0.541378368994606
cg04600000/RASA3	-0.541663597878332	0.541663597878332
cg14499928/GPR133	-0.54249923811587	0.54249923811587
cg21493591/ZFX	-0.544742712753183	0.544742712753183
cg13391244/C7orf58	-0.54483778925505	0.54483778925505
cg09729012/NA	-0.544961427532326	0.544961427532326
cg08241465/CNGB1	-0.545477315848517	0.545477315848517
cg07135405/UCKL1	-0.545759464754593	0.545759464754593
cg12682972/MAP4K4	-0.545782308706422	0.545782308706422
cg15986668/NFYC	-0.547270530757435	0.547270530757435
cg26516362/RUFY1	-0.548407985688029	0.548407985688029
cg02174092/NA	-0.550067763708594	0.550067763708594
cg23077498/DUPD1	-0.551364605165222	0.551364605165222
cg24605338/NHS	-0.552269406320135	0.552269406320135
cg06956444/TNFRSF9	-0.553402710168714	0.553402710168714
cg21442419/SKI	-0.554749737078085	0.554749737078085
cg26643967/SDHAF1	-0.558573480178062	0.558573480178062
cg03929570/NA	-0.560533794858121	0.560533794858121
cg16629288/NA	-0.561987648550872	0.561987648550872
cg24779941/CDC42BPB	-0.562056224061031	0.562056224061031
cg06600287/ECHDC2	-0.57083607282685	0.57083607282685
cg02154531/NHSL2	-0.572737314652336	0.572737314652336
cg00792968/NA	-0.57936757342488	0.57936757342488
cg22007809/TRAK2	-0.581288373603056	0.581288373603056
cg11203293/NA	-0.58233387706144	0.58233387706144
cg25556122/EXOC3L2	-0.582926362383335	0.582926362383335
cg06060522/NA	-0.58351713391164	0.58351713391164
cg03948781/DSTYK	-0.585267989200609	0.585267989200609
cg25223798/NA	-0.588134585565385	0.588134585565385
cg00335715/NA	-0.588588762347102	0.588588762347102
cg19465320/STAT5B	-0.592421218414517	0.592421218414517
cg08837626/NA	-0.59475864491119	0.59475864491119
cg08344281/RFX2	-0.595220761038007	0.595220761038007
cg12461113/EGFL6	-0.595768952581091	0.595768952581091
cg26524638/KCNQ1	-0.599651656538494	0.599651656538494
cg01953819/PUS10	-0.60359293936077	0.60359293936077
cg08317694/CRABP1	-0.60517719517111	0.60517719517111
cg09923954/NA	-0.606608602402754	0.606608602402754
cg20866694/NA	-0.608591708213083	0.608591708213083
cg20456620/INPP5A	-0.609720486992319	0.609720486992319
cg12958813/ATP6V1G3	-0.609783484706829	0.609783484706829
cg12759523/CYFIP1	-0.610158870338006	0.610158870338006
cg09214243/NA	-0.612651085349139	0.612651085349139
cg09473826/TNR	-0.612842635805579	0.612842635805579
cg18064754/MGMT	-0.613317449771301	0.613317449771301
cg19137806/INPP5A	-0.616985934580627	0.616985934580627
cg10249705/GUCY1A2	-0.617458439918971	0.617458439918971
cg09606208/PUS10	-0.619932372695418	0.619932372695418
cg08183317/TFDP1	-0.620708666952185	0.620708666952185
cg16499923/DENND3	-0.621054672155059	0.621054672155059
cg04772328/C2orf77	-0.625167546480851	0.625167546480851
cg11343894/S100A13	-0.626084270884738	0.626084270884738
cg08314300/TBR1	-0.62937818129746	0.62937818129746
cg10429091/NA	-0.631056908065315	0.631056908065315
cg22772235/PRKG2	-0.633986909141176	0.633986909141176
cg13872005/NA	-0.634153359496796	0.634153359496796
cg27373604/DLG2	-0.635061952314738	0.635061952314738
cg06203364/C1orf86	-0.635778494491546	0.635778494491546
cg10967866/INPP5A	-0.641639412158381	0.641639412158381
cg14491362/NA	-0.642940544845574	0.642940544845574
cg05843457/NA	-0.648872437998386	0.648872437998386
cg00513984/NA	-0.650102123145085	0.650102123145085
cg10321196/LOC100303728	-0.653135830492602	0.653135830492602
cg06634460/VPS37B	-0.655558356560952	0.655558356560952
cg01112624/SYN1	-0.656202421667652	0.656202421667652
cg01883195/DCBLD1	-0.657429117626191	0.657429117626191
cg22173837/NCAM1	-0.670362874836297	0.670362874836297
cg01355108/NA	-0.67093324759305	0.67093324759305
cg03441844/NA	-0.680573764774284	0.680573764774284
cg06149733/NA	-0.687099379725634	0.687099379725634
cg06939792/NA	-0.694932322824095	0.694932322824095
cg19015611/VAX2	-0.696034527782634	0.696034527782634
cg16861968/NA	-0.697820656183393	0.697820656183393
cg14423778/MBNL1	-0.713912614743102	0.713912614743102
cg13704680/LOC100130522	-0.715246952850988	0.715246952850988
cg14415079/VAV2	-0.717250064214596	0.717250064214596
cg03699749/OSBPL2	-0.717795301752997	0.717795301752997
cg11294364/NLRP4	-0.729710403897898	0.729710403897898
cg19249107/PCSK9	-0.737348924951961	0.737348924951961
cg20574381/ST5	-0.73892469261652	0.73892469261652
cg06775759/KLHL34	-0.738966350698245	0.738966350698245
